"InphaseC4_019","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_019.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.233333,          2.2819,          1.4268,          2.0252,          2.5836,          2.1930,          1.4375,          1.7897,          2.2792,          1.7890,          1.7487,          2.0452,          2.2029,          2.1111,          2.2745,          1.8866,          2.1719,        -79.9992,        -79.9995,        -79.9978,        -79.9973,        -79.9933,        -79.9912,        -80.0003,        -79.9915
,        0.241667,          2.2819,          1.4268,          2.0252,          2.5836,          2.1930,          1.4375,          1.7897,          2.2792,          1.7890,          1.7488,          2.0452,          2.2029,          2.1111,          2.2745,          1.8866,          2.1719,        -79.9993,        -79.9988,        -79.9981,        -79.9978,        -79.9963,        -79.9937,        -79.9992,        -79.9936
,        0.250000,          2.2819,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7890,          1.7488,          2.0453,          2.2029,          2.1111,          2.2746,          1.8867,          2.1720,        -79.9989,        -79.9991,        -79.9993,        -79.9982,        -79.9965,        -79.9963,        -79.9984,        -79.9955
,        0.258333,          2.2818,          1.4268,          2.0253,          2.5835,          2.1930,          1.4375,          1.7897,          2.2793,          1.7890,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1721,        -79.9991,        -79.9992,        -79.9989,        -79.9989,        -79.9982,        -79.9971,        -79.9973,        -79.9967
,        0.266667,          2.2818,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7890,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8867,          2.1723,        -79.9989,        -79.9998,        -79.9994,        -79.9994,        -79.9983,        -79.9981,        -79.9966,        -79.9978
,        0.275000,          2.2818,          1.4268,          2.0253,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0452,          2.2030,          2.1112,          2.2747,          1.8867,          2.1722,        -79.9990,        -79.9995,        -79.9993,        -79.9993,        -79.9991,        -79.9984,        -79.9979,        -79.9986
,        0.283333,          2.2818,          1.4268,          2.0252,          2.5835,          2.1931,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8867,          2.1722,        -80.0000,        -80.0002,        -80.0002,        -79.9995,        -79.9989,        -79.9998,        -79.9990,        -79.9987
,        0.291667,          2.2819,          1.4268,          2.0252,          2.5834,          2.1929,          1.4376,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8867,          2.1720,        -80.0000,        -80.0003,        -79.9998,        -80.0008,        -80.0002,        -79.9984,        -80.0001,        -79.9992
,        0.300000,          2.2819,          1.4268,          2.0253,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1720,        -80.0000,        -79.9994,        -79.9997,        -79.9998,        -79.9993,        -79.9989,        -80.0011,        -79.9994
,        0.308333,          2.2818,          1.4267,          2.0252,          2.5835,          2.1929,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1720,        -80.0010,        -79.9999,        -79.9996,        -79.9997,        -79.9996,        -79.9997,        -80.0016,        -79.9999
,        0.316667,          2.2818,          1.4267,          2.0253,          2.5835,          2.1930,          1.4375,          1.7896,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2748,          1.8868,          2.1718,        -79.9998,        -79.9996,        -80.0003,        -80.0004,        -80.0003,        -80.0000,        -79.9953,        -79.9993
,        0.325000,          2.2818,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1721,        -79.9987,        -79.9998,        -80.0002,        -79.9996,        -80.0001,        -79.9992,        -80.0002,        -80.0000
,        0.333333,          2.2818,          1.4268,          2.0252,          2.5834,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2031,          2.1112,          2.2747,          1.8868,          2.1721,        -80.0007,        -79.9994,        -79.9991,        -79.9996,        -79.9995,        -80.0001,        -79.9996,        -79.9998
,        0.341667,          2.2818,          1.4268,          2.0253,          2.5834,          2.1930,          1.4375,          1.7897,          2.2791,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1721,        -80.0005,        -79.9996,        -79.9994,        -79.9996,        -79.9999,        -80.0004,        -80.0008,        -79.9999
,        0.350000,          2.2819,          1.4268,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7489,          2.0453,          2.2030,          2.1113,          2.2747,          1.8867,          2.1720,        -80.0013,        -80.0000,        -79.9996,        -80.0004,        -79.9996,        -80.0004,        -79.9994,        -79.9997
,        0.358333,          2.2818,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7890,          1.7488,          2.0453,          2.2031,          2.1112,          2.2747,          1.8868,          2.1719,        -79.9995,        -79.9995,        -79.9995,        -80.0003,        -79.9999,        -79.9996,        -79.9999,        -80.0000
,        0.366667,          2.2818,          1.4267,          2.0252,          2.5835,          2.1929,          1.4375,          1.7897,          2.2791,          1.7891,          1.7488,          2.0452,          2.2030,          2.1113,          2.2747,          1.8868,          2.1721,        -80.0007,        -80.0000,        -80.0003,        -80.0000,        -80.0002,        -79.9994,        -79.9970,        -79.9998
,        0.375000,          2.2818,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7489,          2.0453,          2.2030,          2.1113,          2.2747,          1.8868,          2.1721,        -80.0009,        -80.0000,        -79.9998,        -79.9995,        -79.9993,        -79.9996,        -79.9992,        -79.9996
,        0.383333,          2.2819,          1.4268,          2.0252,          2.5834,          2.1930,          1.4375,          1.7896,          2.2792,          1.7891,          1.7488,          2.0454,          2.2030,          2.1112,          2.2748,          1.8868,          2.1721,        -80.0005,        -80.0001,        -79.9999,        -80.0010,        -80.0000,        -80.0002,        -80.0022,        -80.0004
,        0.391667,          2.2819,          1.4268,          2.0253,          2.5835,          2.1929,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1113,          2.2748,          1.8868,          2.1720,        -79.9989,        -80.0002,        -79.9996,        -79.9999,        -80.0005,        -79.9995,        -79.9996,        -79.9999
,        0.400000,          2.2818,          1.4267,          2.0252,          2.5834,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2031,          2.1112,          2.2748,          1.8868,          2.1720,        -80.0003,        -80.0003,        -80.0002,        -80.0005,        -79.9991,        -80.0005,        -80.0015,        -80.0007
,        0.408333,          2.2819,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1721,        -79.9988,        -80.0004,        -79.9998,        -79.9997,        -79.9990,        -79.9999,        -79.9999,        -79.9999
,        0.416667,          2.2818,          1.4268,          2.0253,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7890,          1.7488,          2.0453,          2.2030,          2.1112,          2.2748,          1.8868,          2.1719,        -80.0001,        -80.0004,        -79.9995,        -79.9994,        -79.9998,        -80.0003,        -79.9996,        -80.0002
,        0.425000,          2.2817,          1.4268,          2.0253,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1720,        -80.0011,        -80.0004,        -79.9998,        -80.0000,        -79.9997,        -80.0000,        -79.9982,        -80.0006
,        0.433333,          2.2817,          1.4268,          2.0253,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1720,        -80.0004,        -79.9996,        -80.0001,        -80.0002,        -80.0007,        -80.0002,        -79.9988,        -79.9998
,        0.441667,          2.2818,          1.4268,          2.0253,          2.5834,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1113,          2.2747,          1.8868,          2.1720,        -80.0006,        -80.0002,        -79.9997,        -80.0001,        -80.0005,        -80.0001,        -80.0003,        -80.0000
