"VanillaC4_007 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_007.tcf]","Time (h)","Q 2 [VanillaC4_007]","Q 3 [VanillaC4_007]","Q 4 [VanillaC4_007]","Q 5 [VanillaC4_007]","Q 6 [VanillaC4_007]","Q 7 [VanillaC4_007]","Q 1 [VanillaC4_007]","Q  8 [VanillaC4_007]"
          69,        0.566667,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -6.9999,         -7.0000,         -7.0001,         -6.9998
          70,        0.575000,         -7.0001,         -7.0000,         -7.0001,         -7.0001,         -7.0001,         -7.0000,         -6.9999,         -6.9999
          71,        0.583333,         -6.9999,         -7.0000,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -7.0001,         -6.9998
          72,        0.591667,         -6.9999,         -6.9999,         -7.0002,         -7.0000,         -6.9999,         -7.0000,         -7.0001,         -6.9998
          73,        0.600000,         -6.9999,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -6.9999,         -7.0001,         -7.0000
          74,        0.608333,         -7.0000,         -7.0000,         -7.0003,         -6.9999,         -6.9999,         -7.0000,         -7.0002,         -7.0001
          75,        0.616667,         -6.9999,         -7.0001,         -7.0000,         -7.0001,         -6.9999,         -7.0002,         -7.0000,         -7.0000
          76,        0.625000,         -6.9999,         -7.0001,         -6.9997,         -7.0000,         -7.0001,         -6.9999,         -7.0001,         -7.0001
          77,        0.633333,         -7.0001,         -7.0000,         -7.0000,         -7.0002,         -7.0000,         -6.9999,         -7.0001,         -6.9999
          78,        0.641667,         -7.0002,         -6.9999,         -7.0000,         -7.0002,         -7.0001,         -7.0001,         -6.9999,         -6.9999
          79,        0.650000,         -7.0000,         -6.9998,         -7.0000,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -6.9999
          80,        0.658333,         -7.0000,         -7.0000,         -6.9998,         -7.0000,         -7.0000,         -6.9998,         -7.0000,         -7.0000
          81,        0.666667,         -6.9998,         -7.0001,         -7.0000,         -6.9998,         -7.0000,         -7.0000,         -7.0001,         -6.9998
          82,        0.675000,         -7.0001,         -7.0001,         -7.0000,         -6.9998,         -6.9998,         -7.0002,         -7.0002,         -6.9999
          83,        0.683333,         -7.0001,         -7.0001,         -7.0001,         -7.0002,         -7.0001,         -7.0000,         -7.0000,         -7.0001
          84,        0.691667,         -7.0000,         -6.9999,         -7.0001,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0000
          85,        0.700000,         -7.0001,         -6.9999,         -7.0002,         -6.9999,         -7.0001,         -7.0002,         -6.9999,         -7.0000
          86,        0.708333,         -6.9999,         -6.9999,         -7.0001,         -7.0002,         -6.9998,         -7.0000,         -7.0000,         -7.0001
          87,        0.716667,         -7.0000,         -7.0000,         -7.0002,         -7.0001,         -7.0001,         -6.9999,         -7.0000,         -7.0001
          88,        0.725000,         -6.9999,         -7.0000,         -7.0000,         -7.0002,         -6.9998,         -7.0000,         -6.9999,         -6.9999
          89,        0.733333,         -6.9998,         -7.0000,         -6.9998,         -7.0000,         -6.9999,         -7.0001,         -7.0001,         -7.0003
          90,        0.741667,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -6.9999,         -7.0001,         -6.9999,         -6.9996
          91,        0.750000,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -7.0001,         -6.9996
          92,        0.758333,         -7.0001,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -6.9998,         -6.9999
          93,        0.766667,         -7.0001,         -6.9999,         -7.0000,         -7.0000,         -6.9999,         -7.0001,         -7.0000,         -7.0000
          94,        0.775000,         -7.0001,         -6.9999,         -7.0000,         -7.0000,         -6.9999,         -6.9999,         -6.9999,         -6.9998
          95,        0.783333,         -7.0000,         -6.9999,         -7.0001,         -7.0001,         -7.0002,         -7.0000,         -7.0001,         -6.9999
          96,        0.791667,         -6.9998,         -7.0000,         -6.9999,         -6.9999,         -7.0001,         -7.0000,         -6.9999,         -6.9997
          97,        0.800000,         -7.0001,         -7.0001,         -6.9999,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -7.0001
          98,        0.808333,         -7.0000,         -6.9999,         -7.0001,         -6.9999,         -7.0001,         -7.0000,         -7.0000,         -6.9994
          99,        0.816667,         -7.0000,         -7.0001,         -7.0000,         -6.9999,         -7.0000,         -6.9999,         -7.0001,         -6.9995
         100,        0.825000,         -6.9999,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -7.0001,         -6.9999,         -6.9997
         101,        0.833333,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -6.9999,         -7.0001,         -7.0001,         -6.9997
         102,        0.841667,         -7.0001,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -7.0001,         -7.0000,         -6.9995
         103,        0.850000,         -7.0001,         -7.0001,         -7.0000,         -7.0000,         -6.9999,         -6.9998,         -7.0000,         -7.0000
         104,        0.858333,         -7.0001,         -7.0002,         -7.0001,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -6.9999
         105,        0.866667,         -7.0000,         -6.9999,         -6.9999,         -6.9999,         -7.0000,         -7.0000,         -7.0001,         -7.0037
         106,        0.875000,         -7.0001,         -6.9999,         -7.0000,         -7.0002,         -6.9999,         -7.0001,         -7.0000,         -6.9970
         107,        0.883333,         -7.0000,         -6.9998,         -7.0002,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -6.9989
         108,        0.891667,         -6.9999,         -7.0002,         -7.0002,         -7.0000,         -7.0001,         -6.9999,         -6.9998,         -6.9993
         109,        0.900000,         -6.9999,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0001,         -6.9996
         110,        0.908333,         -6.9999,         -7.0000,         -6.9998,         -7.0000,         -7.0001,         -6.9998,         -7.0000,         -6.9998
         111,        0.916667,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0000,         -6.9999,         -6.9998
         112,        0.925000,         -6.9999,         -7.0001,         -6.9999,         -7.0000,         -6.9998,         -7.0001,         -7.0001,         -6.9999
         113,        0.933333,         -7.0001,         -7.0000,         -7.0000,         -6.9999,         -7.0001,         -7.0000,         -7.0001,         -7.0000
         114,        0.941667,         -6.9998,         -7.0000,         -7.0002,         -7.0000,         -7.0001,         -7.0000,         -7.0001,         -6.9998
         115,        0.950000,         -7.0000,         -7.0000,         -7.0000,         -6.9999,         -6.9999,         -7.0000,         -7.0000,         -7.0000
         116,        0.958333,         -7.0001,         -7.0000,         -7.0001,         -7.0001,         -7.0000,         -7.0000,         -7.0000,         -7.0001
         117,        0.966667,         -7.0001,         -7.0002,         -6.9999,         -7.0001,         -7.0000,         -6.9998,         -7.0000,         -6.9999
         118,        0.975000,         -7.0001,         -7.0000,         -6.9999,         -6.9999,         -7.0000,         -7.0000,         -7.0002,         -6.9999
         119,        0.983333,         -7.0000,         -7.0001,         -7.0000,         -7.0001,         -7.0001,         -7.0001,         -6.9999,         -6.9999
         120,        0.991667,         -7.0000,         -7.0000,         -7.0001,         -6.9998,         -7.0000,         -7.0000,         -7.0000,         -6.9998
         121,        1.000000,         -7.0001,         -7.0001,         -7.0001,         -7.0000,         -7.0001,         -6.9999,         -6.9999,         -7.0000
         122,        1.008333,         -6.9999,         -6.9998,         -7.0001,         -7.0002,         -6.9999,         -7.0000,         -6.9999,         -7.0000
         123,        1.016667,         -6.9999,         -7.0001,         -6.9999,         -7.0001,         -7.0000,         -6.9999,         -7.0000,         -6.9999
         124,        1.025000,         -7.0000,         -7.0001,         -7.0001,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -6.9999
         125,        1.033333,         -7.0001,         -7.0001,         -7.0001,         -6.9999,         -6.9999,         -7.0000,         -6.9999,         -6.9999
         126,        1.041667,         -6.9999,         -7.0001,         -7.0000,         -6.9998,         -7.0000,         -6.9998,         -7.0000,         -6.9998
         127,        1.050000,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -7.0000
         128,        1.058333,         -6.9999,         -7.0000,         -6.9999,         -7.0001,         -7.0000,         -6.9999,         -7.0000,         -7.0001
         129,        1.066667,         -6.9999,         -7.0002,         -7.0000,         -6.9999,         -7.0001,         -6.9999,         -7.0002,         -7.0000
         130,        1.075000,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -7.0001,         -7.0001,         -6.9998
         131,        1.083333,         -7.0000,         -6.9999,         -6.9999,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -6.9999
         132,        1.091667,         -7.0002,         -7.0001,         -7.0000,         -6.9998,         -7.0000,         -7.0000,         -7.0000,         -7.0001
         133,        1.100000,         -7.0000,         -7.0002,         -7.0000,         -7.0001,         -7.0001,         -7.0000,         -6.9999,         -7.0000
         134,        1.108333,         -7.0000,         -6.9999,         -7.0001,         -6.9999,         -6.9998,         -7.0000,         -7.0001,         -7.0000
         135,        1.116667,         -6.9998,         -6.9999,         -7.0001,         -7.0001,         -7.0001,         -7.0000,         -7.0000,         -6.9999
         136,        1.125000,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -6.9998,         -6.9998
         137,        1.133333,         -7.0000,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -7.0000,         -7.0001,         -7.0000
         138,        1.141667,         -6.9999,         -6.9999,         -7.0000,         -7.0002,         -7.0000,         -7.0000,         -7.0000,         -7.0000
         139,        1.150000,         -6.9999,         -7.0001,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -6.9999,         -7.0000
         140,        1.158333,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -7.0000
         141,        1.166667,         -7.0001,         -7.0001,         -6.9999,         -7.0000,         -6.9999,         -7.0001,         -6.9999,         -6.9998
         142,        1.175000,         -7.0000,         -7.0000,         -6.9999,         -6.9998,         -7.0001,         -6.9999,         -6.9999,         -7.0000
         143,        1.183333,         -7.0001,         -7.0001,         -7.0001,         -7.0001,         -7.0000,         -7.0001,         -7.0000,         -7.0000
         144,        1.191667,         -6.9999,         -7.0000,         -7.0001,         -7.0001,         -7.0001,         -7.0002,         -6.9999,         -6.9999
         145,        1.200000,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -6.9999,         -7.0001,         -7.0000,         -7.0000
         146,        1.208333,         -6.9999,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -6.9998,         -7.0000,         -7.0001
         147,        1.216667,         -6.9999,         -6.9999,         -6.9999,         -6.9998,         -7.0001,         -7.0001,         -7.0001,         -6.9999
         148,        1.225000,         -6.9999,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -7.0002,         -6.9999,         -7.0000
         149,        1.233333,         -7.0001,         -6.9999,         -7.0001,         -7.0001,         -7.0000,         -6.9999,         -6.9999,         -6.9999
         150,        1.241667,         -7.0000,         -7.0001,         -6.9999,         -7.0000,         -7.0000,         -7.0001,         -7.0001,         -6.9998
         151,        1.250000,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0001
         152,        1.258333,         -6.9999,         -6.9999,         -6.9999,         -7.0001,         -7.0001,         -7.0001,         -7.0001,         -7.0000
         153,        1.266667,         -6.9999,         -7.0001,         -6.9999,         -6.9999,         -7.0001,         -7.0001,         -7.0000,         -7.0001
         154,        1.275000,         -6.9999,         -7.0000,         -7.0002,         -7.0001,         -7.0000,         -7.0000,         -7.0000,         -7.0001
         155,        1.283333,         -7.0000,         -7.0000,         -7.0002,         -6.9998,         -7.0000,         -7.0000,         -7.0000,         -6.9998
         156,        1.291667,         -7.0001,         -7.0001,         -6.9999,         -6.9999,         -6.9999,         -7.0000,         -6.9999,         -7.0000
         157,        1.300000,         -7.0001,         -7.0000,         -7.0000,         -7.0001,         -6.9999,         -7.0000,         -6.9999,         -6.9999
         158,        1.308333,         -6.9999,         -7.0002,         -7.0000,         -7.0000,         -7.0001,         -6.9999,         -6.9998,         -6.9999
         159,        1.316667,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0000,         -7.0001,         -7.0002
         160,        1.325000,         -7.0000,         -6.9999,         -6.9999,         -6.9999,         -7.0001,         -7.0001,         -6.9999,         -6.9998
         161,        1.333333,         -7.0001,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -7.0000,         -7.0001,         -7.0000
         162,        1.341667,         -7.0000,         -7.0000,         -7.0000,         -6.9999,         -6.9999,         -7.0001,         -7.0001,         -6.9999
         163,        1.350000,         -7.0000,         -7.0000,         -7.0000,         -6.9999,         -7.0000,         -6.9999,         -7.0000,         -6.9999
         164,        1.358333,         -7.0000,         -7.0000,         -7.0000,         -6.9999,         -6.9999,         -6.9998,         -7.0001,         -7.0002
         165,        1.366667,         -7.0001,         -7.0000,         -7.0001,         -6.9999,         -7.0000,         -7.0000,         -6.9999,         -7.0000
         166,        1.375000,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0001,         -7.0001,         -7.0000,         -7.0002
         167,        1.383333,         -7.0002,         -7.0000,         -7.0000,         -7.0001,         -6.9999,         -7.0000,         -7.0000,         -6.9999
         168,        1.391667,         -7.0000,         -7.0001,         -7.0001,         -7.0000,         -6.9999,         -7.0002,         -7.0000,         -7.0000
         169,        1.400000,         -6.9999,         -7.0003,         -6.9999,         -6.9999,         -6.9999,         -7.0000,         -6.9998,         -6.9999
         170,        1.408333,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -6.9999,         -7.0001,         -6.9999
         171,        1.416667,         -6.9999,         -7.0000,         -7.0000,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -7.0000
         172,        1.425000,         -6.9999,         -7.0001,         -7.0000,         -7.0000,         -7.0001,         -7.0001,         -7.0000,         -6.9998
         173,        1.433333,         -6.9999,         -7.0000,         -7.0002,         -7.0000,         -7.0000,         -6.9999,         -7.0000,         -7.0001
         174,        1.441667,         -7.0001,         -7.0000,         -6.9999,         -6.9998,         -7.0000,         -7.0000,         -7.0001,         -6.9999
         175,        1.450000,         -7.0001,         -7.0001,         -7.0000,         -7.0002,         -7.0000,         -7.0000,         -7.0001,         -7.0000
         176,        1.458333,         -7.0002,         -7.0000,         -6.9999,         -7.0000,         -6.9999,         -6.9999,         -7.0001,         -6.9998
         177,        1.466667,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -6.9998,         -7.0000,         -7.0001,         -7.0002
         178,        1.475000,         -6.9999,         -6.9999,         -7.0001,         -7.0001,         -7.0001,         -7.0000,         -6.9999,         -6.9999
         179,        1.483333,         -6.9998,         -7.0000,         -6.9999,         -7.0000,         -7.0001,         -6.9999,         -7.0002,         -7.0000
