"InphaseC4_005 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_005.tcf]","Time (h)","Q 2 [InphaseC4_005]","Q 3 [InphaseC4_005]","Q 4 [InphaseC4_005]","Q 5 [InphaseC4_005]","Q 6 [InphaseC4_005]","Q 7 [InphaseC4_005]","Q 1 [InphaseC4_005]","Q  8 [InphaseC4_005]"
         107,        0.883333,        -38.2750,        -38.2741,        -38.2740,        -38.2741,        -38.2743,        -38.2741,        -38.2746,        -38.2748
         108,        0.891667,        -38.2746,        -38.2747,        -38.2741,        -38.2743,        -38.2742,        -38.2744,        -38.2744,        -38.2745
         109,        0.900000,        -38.2746,        -38.2741,        -38.2739,        -38.2744,        -38.2745,        -38.2746,        -38.2745,        -38.2744
         110,        0.908333,        -38.2745,        -38.2745,        -38.2733,        -38.2737,        -38.2742,        -38.2740,        -38.2742,        -38.2748
         111,        0.916667,        -38.2748,        -38.2743,        -38.2743,        -38.2743,        -38.2742,        -38.2743,        -38.2741,        -38.2741
         112,        0.925000,        -38.2744,        -38.2744,        -38.2744,        -38.2746,        -38.2748,        -38.2743,        -38.2745,        -38.2732
         113,        0.933333,        -38.2739,        -38.2744,        -38.2744,        -38.2743,        -38.2739,        -38.2744,        -38.2744,        -38.2748
         114,        0.941667,        -38.2741,        -38.2741,        -38.2743,        -38.2747,        -38.2742,        -38.2743,        -38.2745,        -38.2738
         115,        0.950000,        -38.2739,        -38.2741,        -38.2748,        -38.2742,        -38.2743,        -38.2742,        -38.2743,        -38.2741
         116,        0.958333,        -38.2741,        -38.2745,        -38.2746,        -38.2740,        -38.2741,        -38.2744,        -38.2740,        -38.2746
         117,        0.966667,        -38.2736,        -38.2745,        -38.2744,        -38.2747,        -38.2739,        -38.2740,        -38.2743,        -38.2742
         118,        0.975000,        -38.2744,        -38.2742,        -38.2745,        -38.2742,        -38.2742,        -38.2741,        -38.2744,        -38.2747
         119,        0.983333,        -38.2740,        -38.2743,        -38.2743,        -38.2742,        -38.2736,        -38.2740,        -38.2742,        -38.2751
         120,        0.991667,        -38.2738,        -38.2740,        -38.2744,        -38.2741,        -38.2742,        -38.2739,        -38.2743,        -38.2741
         121,        1.000000,        -38.2737,        -38.2745,        -38.2742,        -38.2741,        -38.2751,        -38.2746,        -38.2739,        -38.2731
         122,        1.008333,        -38.2746,        -38.2740,        -38.2749,        -38.2738,        -38.2735,        -38.2742,        -38.2745,        -38.2738
         123,        1.016667,        -38.2749,        -38.2741,        -38.2747,        -38.2745,        -38.2746,        -38.2745,        -38.2743,        -38.2737
         124,        1.025000,        -38.2743,        -38.2750,        -38.2744,        -38.2741,        -38.2750,        -38.2747,        -38.2741,        -38.2744
         125,        1.033333,        -38.2746,        -38.2741,        -38.2740,        -38.2748,        -38.2744,        -38.2741,        -38.2743,        -38.2751
         126,        1.041667,        -38.2738,        -38.2742,        -38.2744,        -38.2741,        -38.2749,        -38.2743,        -38.2740,        -38.2740
         127,        1.050000,        -38.2750,        -38.2741,        -38.2746,        -38.2749,        -38.2749,        -38.2744,        -38.2744,        -38.2738
