"InphaseC4_010 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_010.tcf]","Time (h)","V 2 [InphaseC4_010]","V 3 [InphaseC4_010]","V 4 [InphaseC4_010]","V 5 [InphaseC4_010]","V 6 [InphaseC4_010]","V 7 [InphaseC4_010]","V 8 [InphaseC4_010]","V 9 [InphaseC4_010]","V 10 [InphaseC4_010]","V 11 [InphaseC4_010]","V 12 [InphaseC4_010]","V 13 [InphaseC4_010]","V 14 [InphaseC4_010]","V 15 [InphaseC4_010]","V 16 [InphaseC4_010]","V  1 [InphaseC4_010]"
          53,        0.433333,          0.7934,          0.1923,          0.6684,          1.6690,          0.8043,          0.1165,          0.5587,          1.3976,          0.1599,          0.3356,          0.8881,          1.5387,          1.1493,          0.5772,          0.5559,          1.2341
          54,        0.441667,          0.7934,          0.1922,          0.6684,          1.6690,          0.8043,          0.1165,          0.5588,          1.3977,          0.1600,          0.3356,          0.8880,          1.5388,          1.1494,          0.5773,          0.5561,          1.2340
          55,        0.450000,          0.7934,          0.1923,          0.6683,          1.6690,          0.8043,          0.1165,          0.5588,          1.3976,          0.1600,          0.3357,          0.8881,          1.5389,          1.1495,          0.5774,          0.5561,          1.2341
          56,        0.458333,          0.7934,          0.1923,          0.6684,          1.6691,          0.8042,          0.1166,          0.5588,          1.3977,          0.1600,          0.3356,          0.8882,          1.5389,          1.1495,          0.5774,          0.5562,          1.2341
          57,        0.466667,          0.7934,          0.1923,          0.6684,          1.6690,          0.8042,          0.1165,          0.5588,          1.3977,          0.1600,          0.3357,          0.8881,          1.5389,          1.1496,          0.5774,          0.5562,          1.2340
          58,        0.475000,          0.7934,          0.1922,          0.6684,          1.6689,          0.8043,          0.1166,          0.5589,          1.3977,          0.1600,          0.3356,          0.8882,          1.5390,          1.1496,          0.5775,          0.5562,          1.2340
          59,        0.483333,          0.7934,          0.1923,          0.6684,          1.6690,          0.8042,          0.1166,          0.5588,          1.3978,          0.1600,          0.3356,          0.8882,          1.5390,          1.1496,          0.5775,          0.5563,          1.2340
          60,        0.491667,          0.7934,          0.1924,          0.6684,          1.6690,          0.8042,          0.1167,          0.5588,          1.3977,          0.1600,          0.3357,          0.8883,          1.5390,          1.1496,          0.5774,          0.5563,          1.2341
          61,        0.500000,          0.7934,          0.1923,          0.6684,          1.6690,          0.8042,          0.1166,          0.5588,          1.3977,          0.1600,          0.3357,          0.8882,          1.5390,          1.1496,          0.5775,          0.5562,          1.2341
          62,        0.508333,          0.7934,          0.1923,          0.6684,          1.6690,          0.8042,          0.1165,          0.5587,          1.3977,          0.1600,          0.3357,          0.8882,          1.5390,          1.1496,          0.5775,          0.5563,          1.2340
