"OutphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_013.tcf]","Time (h)","V 2 [OutphaseC4_013]","V 3 [OutphaseC4_013]","V 4 [OutphaseC4_013]","V 5 [OutphaseC4_013]","V 6 [OutphaseC4_013]","V 7 [OutphaseC4_013]","V 8 [OutphaseC4_013]","V 9 [OutphaseC4_013]","V 10 [OutphaseC4_013]","V 11 [OutphaseC4_013]","V 12 [OutphaseC4_013]","V 13 [OutphaseC4_013]","V 14 [OutphaseC4_013]","V 15 [OutphaseC4_013]","V 16 [OutphaseC4_013]","V  1 [OutphaseC4_013]"
          43,        0.350000,          1.3543,          0.0820,          0.9244,          0.7914,          0.9384,          0.2171,          0.0458,          0.3508,          1.2279,          0.8342,          0.0796,          0.3510,          0.6581,          1.9405,          2.6629,          0.5220
          44,        0.358333,          1.3560,          0.0941,          0.9222,          0.7895,          0.9395,          0.2188,          0.0443,          0.3522,          1.2344,          0.6749,          0.0733,          0.3598,          0.6815,          1.9885,          2.7527,          0.5174
          45,        0.366667,          1.3562,          0.0928,          0.9206,          0.7875,          0.9373,          0.2201,          0.0428,          0.3560,          1.2382,          0.5775,          0.0695,          0.3629,          0.7005,          2.0275,          2.8304,          0.5307
          46,        0.375000,          1.3556,          0.0937,          0.9185,          0.7895,          0.9349,          0.2211,          0.0421,          0.3487,          1.2438,          0.5182,          0.0662,          0.3630,          0.7160,          2.0587,          2.8948,          0.5197
          47,        0.383333,          1.3545,          0.0869,          0.9161,          0.7935,          0.9354,          0.2221,          0.0410,          0.3444,          1.2471,          0.4850,          0.0629,          0.3703,          0.7290,          2.0860,          2.9493,          0.5219
          48,        0.391667,          1.3551,          0.0829,          0.9133,          0.7962,          0.9368,          0.2228,          0.0398,          0.3449,          1.2481,          0.4603,          0.0597,          0.3836,          0.7404,          2.1099,          2.9945,          0.5230
          49,        0.400000,          1.3568,          0.0874,          0.9104,          0.7977,          0.9376,          0.2234,          0.0389,          0.3435,          1.2518,          0.4460,          0.0592,          0.3970,          0.7496,          2.1298,          3.0325,          0.5176
          50,        0.408333,          1.3564,          0.0872,          0.9075,          0.7995,          0.9376,          0.2239,          0.0382,          0.3433,          1.2547,          0.4356,          0.0575,          0.4062,          0.7564,          2.1458,          3.0640,          0.5361
          51,        0.416667,          1.3557,          0.0817,          0.9049,          0.8019,          0.9371,          0.2243,          0.0371,          0.3449,          1.2559,          0.4295,          0.0570,          0.4161,          0.7616,          2.1596,          3.0905,          0.5216
          52,        0.425000,          1.3546,          0.0922,          0.9025,          0.8049,          0.9377,          0.2247,          0.0366,          0.3451,          1.2572,          0.4232,          0.0543,          0.4251,          0.7655,          2.1712,          3.1124,          0.5268
          53,        0.433333,          1.3563,          0.0856,          0.8997,          0.8086,          0.9377,          0.2250,          0.0362,          0.3450,          1.2587,          0.4211,          0.0549,          0.4309,          0.7677,          2.1809,          3.1311,          0.5260
          54,        0.441667,          1.3566,          0.0778,          0.8969,          0.8121,          0.9384,          0.2253,          0.0353,          0.3460,          1.2593,          0.4200,          0.0534,          0.4315,          0.7701,          2.1894,          3.1467,          0.5194
          55,        0.450000,          1.3548,          0.0841,          0.8940,          0.8160,          0.9388,          0.2253,          0.0348,          0.3457,          1.2604,          0.4185,          0.0518,          0.4353,          0.7732,          2.1962,          3.1600,          0.5426
          56,        0.458333,          1.3549,          0.0864,          0.8911,          0.8200,          0.9390,          0.2256,          0.0341,          0.3454,          1.2613,          0.4172,          0.0532,          0.4309,          0.7753,          2.2028,          3.1712,          0.5246
          57,        0.466667,          1.3550,          0.0858,          0.8883,          0.8241,          0.9394,          0.2257,          0.0334,          0.3454,          1.2614,          0.4158,          0.0548,          0.4250,          0.7779,          2.2078,          3.1810,          0.5342
          58,        0.475000,          1.3561,          0.0790,          0.8846,          0.8288,          0.9394,          0.2259,          0.0332,          0.3453,          1.2621,          0.4153,          0.0537,          0.4239,          0.7816,          2.2123,          3.1890,          0.5268
          59,        0.483333,          1.3558,          0.0881,          0.8811,          0.8330,          0.9400,          0.2261,          0.0326,          0.3456,          1.2624,          0.4151,          0.0530,          0.4257,          0.7830,          2.2161,          3.1957,          0.5216
          60,        0.491667,          1.3547,          0.0885,          0.8771,          0.8377,          0.9402,          0.2260,          0.0324,          0.3459,          1.2628,          0.4152,          0.0544,          0.4226,          0.7835,          2.2187,          3.2014,          0.5509
          61,        0.500000,          1.3530,          0.0904,          0.8729,          0.8423,          0.9404,          0.2262,          0.0321,          0.3459,          1.2632,          0.4152,          0.0567,          0.4172,          0.7852,          2.2216,          3.2060,          0.5285
          62,        0.508333,          1.3527,          0.0890,          0.8688,          0.8474,          0.9409,          0.2262,          0.0316,          0.3453,          1.2633,          0.4151,          0.0575,          0.4172,          0.7873,          2.2240,          3.2100,          0.5423
          63,        0.516667,          1.3545,          0.0775,          0.8638,          0.8533,          0.9408,          0.2262,          0.0314,          0.3444,          1.2637,          0.4145,          0.0561,          0.4225,          0.7880,          2.2261,          3.2134,          0.5246
          64,        0.525000,          1.3559,          0.0903,          0.8593,          0.8588,          0.9413,          0.2263,          0.0310,          0.3436,          1.2636,          0.4143,          0.0554,          0.4270,          0.7872,          2.2275,          3.2162,          0.5184
          65,        0.533333,          1.3574,          0.0861,          0.8544,          0.8649,          0.9413,          0.2262,          0.0308,          0.3425,          1.2637,          0.4144,          0.0567,          0.4245,          0.7867,          2.2284,          3.2187,          0.5556
