"sfe_25","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow"
"F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\002\sfe_25.tcf","Time","1","2","3","4","5","6","1","2","3","4"
,        0.533333,          0.0668,          0.0963,          0.0000,          0.0000,          0.0000,          0.0000,          0.0943,          0.0396,          0.0000,          0.0000
,        0.550000,          0.0674,          0.1165,          0.0000,          0.0000,          0.0000,          0.0000,          0.0955,          0.0619,          0.0000,          0.0000
,        0.566667,          0.0681,          0.1227,          0.1883,          0.0000,          0.0000,          0.0000,          0.0964,          0.0771,          0.0000,          0.0000
,        0.583333,          0.0684,          0.1271,          0.2452,          0.0000,          0.0000,          0.0000,          0.0970,          0.0873,          0.0000,          0.0000
,        0.600000,          0.0685,          0.1302,          0.1268,          0.0000,          0.0000,          0.0000,          0.0974,          0.0919,          0.0000,          0.0000
,        0.616667,          0.0688,          0.1321,          0.0659,          0.0000,          0.0000,          0.0000,          0.0977,          0.0941,          0.0078,          0.0000
,        0.633333,          0.0689,          0.1335,          0.0454,          0.0000,          0.1325,          0.0000,          0.0980,          0.0909,          0.0092,          0.0000
,        0.650000,          0.0691,          0.1343,          0.0259,          0.0000,          0.1398,          0.0000,          0.0981,          0.0806,          0.0102,          0.0000
,        0.666667,          0.0691,          0.1348,          0.0185,          0.0000,          0.1202,          0.0000,          0.0982,          0.0764,          0.0124,          0.0000
,        0.683333,          0.0691,          0.1353,          0.0155,          0.0000,          0.1179,          0.0000,          0.0983,          0.0783,          0.0200,          0.0000
,        0.700000,          0.0692,          0.1353,          0.0131,          0.0000,          0.1368,          0.0000,          0.0984,          0.0800,          0.0288,          0.0000
,        0.716667,          0.0693,          0.1353,          0.0106,          0.0000,          0.1558,          0.0000,          0.0984,          0.0822,          0.0364,          0.0000
,        0.733333,          0.0692,          0.1353,          0.0090,          0.1692,          0.1576,          0.0000,          0.0985,          0.0842,          0.0441,          0.0000
,        0.750000,          0.0692,          0.1353,          0.0081,          0.2168,          0.1435,          0.0000,          0.0985,          0.0868,          0.0498,          0.0000
,        0.766667,          0.0693,          0.1351,          0.0066,          0.2555,          0.1586,          0.0000,          0.0985,          0.0883,          0.0497,          0.0007
,        0.783333,          0.0692,          0.1349,          0.0054,          0.2967,          0.1698,          0.3584,          0.0985,          0.0902,          0.0611,          0.0380
,        0.800000,          0.0692,          0.1347,          0.0048,          0.3163,          0.1796,          0.4062,          0.0985,          0.0916,          0.0661,          0.0514
,        0.816667,          0.0693,          0.1346,          0.0040,          0.3391,          0.1625,          0.4227,          0.0985,          0.0929,          0.0693,          0.0590
,        0.833333,          0.0694,          0.1345,          0.0036,          0.3546,          0.1651,          0.4393,          0.0985,          0.0939,          0.0728,          0.0639
,        0.850000,          0.0693,          0.1345,          0.0031,          0.3679,          0.1666,          0.4541,          0.0985,          0.0949,          0.0749,          0.0684
,        0.866667,          0.0693,          0.1343,          0.0027,          0.3780,          0.1687,          0.4645,          0.0985,          0.0952,          0.0767,          0.0717
,        0.883333,          0.0694,          0.1342,          0.0023,          0.3865,          0.1705,          0.4706,          0.0985,          0.0960,          0.0784,          0.0737
