"InphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_013.tcf]","Time (h)","Q 2 [InphaseC4_013]","Q 3 [InphaseC4_013]","Q 4 [InphaseC4_013]","Q 5 [InphaseC4_013]","Q 6 [InphaseC4_013]","Q 7 [InphaseC4_013]","Q 1 [InphaseC4_013]","Q  8 [InphaseC4_013]"
         192,        1.591667,        -20.0002,        -19.9999,        -20.0008,        -20.0002,        -20.0004,        -20.0001,        -19.9999,        -19.9991
         193,        1.600000,        -20.0002,        -20.0000,        -19.9998,        -20.0002,        -19.9999,        -20.0001,        -20.0000,        -19.9994
         194,        1.608333,        -20.0001,        -20.0003,        -20.0012,        -19.9997,        -19.9997,        -20.0000,        -19.9999,        -20.0001
         195,        1.616667,        -20.0002,        -20.0002,        -19.9999,        -20.0001,        -19.9999,        -19.9998,        -20.0001,        -20.0001
         196,        1.625000,        -20.0001,        -20.0001,        -19.9998,        -19.9998,        -19.9996,        -19.9999,        -20.0000,        -20.0002
         197,        1.633333,        -19.9997,        -20.0001,        -19.9998,        -20.0005,        -19.9996,        -20.0001,        -19.9999,        -20.0007
         198,        1.641667,        -20.0003,        -20.0000,        -20.0002,        -20.0000,        -19.9999,        -19.9998,        -19.9999,        -20.0002
         199,        1.650000,        -19.9997,        -20.0001,        -20.0003,        -20.0000,        -20.0001,        -20.0000,        -20.0001,        -20.0001
         200,        1.658333,        -19.9999,        -19.9999,        -20.0002,        -19.9998,        -20.0000,        -19.9999,        -20.0001,        -20.0001
         201,        1.666667,        -19.9996,        -20.0000,        -19.9996,        -20.0004,        -20.0000,        -20.0001,        -20.0000,        -19.9995
         202,        1.675000,        -20.0004,        -19.9997,        -19.9995,        -19.9997,        -19.9995,        -19.9998,        -20.0001,        -19.9998
         203,        1.683333,        -20.0009,        -19.9999,        -19.9999,        -19.9998,        -19.9998,        -20.0002,        -20.0000,        -19.9987
         204,        1.691667,        -20.0004,        -20.0000,        -19.9998,        -19.9999,        -19.9994,        -20.0002,        -20.0002,        -20.0003
         205,        1.700000,        -20.0001,        -20.0001,        -20.0000,        -20.0003,        -19.9996,        -20.0000,        -20.0000,        -19.9996
         206,        1.708333,        -20.0001,        -20.0001,        -20.0005,        -20.0002,        -20.0001,        -19.9997,        -19.9998,        -19.9991
