"InphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_013.tcf]","Time (h)","Q 2 [InphaseC4_013]","Q 3 [InphaseC4_013]","Q 4 [InphaseC4_013]","Q 5 [InphaseC4_013]","Q 6 [InphaseC4_013]","Q 7 [InphaseC4_013]","Q 1 [InphaseC4_013]","Q  8 [InphaseC4_013]"
          95,        0.783333,        -20.0002,        -20.0002,        -20.0007,        -19.9998,        -20.0001,        -20.0005,        -20.0000,        -20.0000
          96,        0.791667,        -20.0006,        -19.9999,        -20.0001,        -19.9999,        -20.0008,        -20.0001,        -20.0001,        -20.0002
          97,        0.800000,        -20.0000,        -19.9998,        -20.0001,        -20.0001,        -19.9993,        -20.0001,        -19.9998,        -20.0004
          98,        0.808333,        -19.9999,        -19.9999,        -19.9999,        -20.0000,        -20.0000,        -19.9999,        -20.0002,        -19.9999
          99,        0.816667,        -20.0003,        -19.9999,        -19.9995,        -20.0005,        -20.0005,        -20.0000,        -19.9999,        -20.0002
         100,        0.825000,        -19.9999,        -19.9999,        -19.9995,        -20.0001,        -19.9996,        -19.9997,        -20.0002,        -20.0001
         101,        0.833333,        -19.9998,        -19.9998,        -19.9993,        -19.9999,        -20.0005,        -20.0001,        -19.9999,        -19.9995
         102,        0.841667,        -20.0002,        -20.0001,        -19.9997,        -19.9995,        -20.0002,        -19.9999,        -19.9999,        -19.9992
         103,        0.850000,        -19.9994,        -20.0000,        -19.9999,        -19.9999,        -20.0001,        -19.9999,        -20.0000,        -20.0004
         104,        0.858333,        -20.0001,        -20.0000,        -19.9996,        -20.0001,        -20.0002,        -19.9999,        -20.0001,        -19.9996
         105,        0.866667,        -20.0004,        -19.9999,        -19.9997,        -20.0000,        -19.9998,        -20.0000,        -20.0001,        -20.0004
         106,        0.875000,        -20.0006,        -20.0001,        -19.9999,        -19.9998,        -20.0001,        -19.9999,        -20.0003,        -19.9998
         107,        0.883333,        -20.0005,        -19.9997,        -19.9998,        -20.0003,        -20.0009,        -20.0003,        -19.9997,        -20.0000
         108,        0.891667,        -19.9992,        -19.9999,        -19.9997,        -20.0002,        -19.9999,        -19.9998,        -19.9996,        -20.0003
         109,        0.900000,        -20.0005,        -20.0003,        -20.0001,        -19.9999,        -20.0006,        -20.0001,        -20.0004,        -19.9997
         110,        0.908333,        -20.0001,        -20.0002,        -20.0005,        -19.9999,        -19.9998,        -19.9999,        -20.0000,        -20.0001
         111,        0.916667,        -19.9995,        -20.0000,        -20.0008,        -19.9995,        -19.9995,        -19.9999,        -20.0000,        -19.9995
         112,        0.925000,        -19.9995,        -19.9999,        -19.9996,        -19.9998,        -19.9992,        -20.0000,        -19.9997,        -19.9999
         113,        0.933333,        -19.9994,        -20.0001,        -19.9995,        -20.0002,        -20.0002,        -20.0000,        -20.0001,        -20.0002
         114,        0.941667,        -20.0003,        -20.0000,        -20.0002,        -20.0002,        -20.0000,        -20.0001,        -19.9998,        -20.0003
         115,        0.950000,        -20.0002,        -19.9999,        -20.0000,        -19.9997,        -20.0000,        -20.0001,        -19.9999,        -19.9997
         116,        0.958333,        -20.0005,        -19.9999,        -19.9995,        -20.0001,        -20.0001,        -19.9999,        -20.0000,        -20.0003
         117,        0.966667,        -20.0000,        -20.0000,        -20.0005,        -20.0000,        -19.9997,        -19.9998,        -20.0003,        -19.9991
         118,        0.975000,        -20.0000,        -19.9999,        -20.0001,        -20.0001,        -19.9997,        -20.0000,        -19.9998,        -19.9997
         119,        0.983333,        -19.9999,        -19.9999,        -20.0001,        -19.9999,        -20.0005,        -19.9999,        -20.0000,        -19.9998
         120,        0.991667,        -20.0002,        -19.9999,        -19.9998,        -19.9996,        -20.0001,        -20.0001,        -19.9997,        -20.0000
         121,        1.000000,        -19.9995,        -19.9997,        -20.0009,        -20.0002,        -20.0002,        -20.0001,        -20.0000,        -20.0004
         122,        1.008333,        -20.0003,        -20.0000,        -19.9999,        -20.0001,        -19.9994,        -19.9997,        -19.9997,        -20.0006
         123,        1.016667,        -19.9997,        -19.9997,        -20.0004,        -20.0000,        -20.0004,        -20.0000,        -20.0000,        -20.0002
         124,        1.025000,        -19.9994,        -20.0003,        -20.0002,        -19.9995,        -20.0005,        -19.9999,        -20.0002,        -20.0000
         125,        1.033333,        -19.9999,        -19.9998,        -19.9997,        -20.0002,        -20.0007,        -20.0002,        -20.0000,        -19.9998
         126,        1.041667,        -19.9998,        -20.0001,        -20.0001,        -20.0001,        -19.9995,        -20.0002,        -20.0002,        -20.0005
         127,        1.050000,        -19.9998,        -20.0001,        -20.0000,        -20.0004,        -20.0007,        -20.0001,        -20.0002,        -20.0000
         128,        1.058333,        -20.0005,        -20.0001,        -19.9995,        -19.9997,        -20.0005,        -19.9997,        -19.9999,        -20.0001
         129,        1.066667,        -19.9993,        -20.0002,        -19.9997,        -20.0005,        -20.0000,        -20.0002,        -20.0001,        -20.0000
         130,        1.075000,        -20.0003,        -20.0000,        -19.9999,        -20.0001,        -20.0000,        -19.9999,        -20.0000,        -20.0006
         131,        1.083333,        -20.0001,        -19.9999,        -19.9995,        -19.9998,        -20.0001,        -20.0002,        -20.0000,        -20.0007
         132,        1.091667,        -19.9997,        -20.0001,        -20.0000,        -19.9999,        -20.0001,        -20.0000,        -20.0000,        -20.0010
         133,        1.100000,        -20.0000,        -19.9998,        -20.0006,        -20.0003,        -19.9994,        -19.9999,        -20.0001,        -20.0002
         134,        1.108333,        -20.0002,        -20.0001,        -20.0000,        -20.0000,        -19.9993,        -19.9998,        -20.0001,        -19.9995
         135,        1.116667,        -20.0005,        -20.0000,        -19.9998,        -19.9998,        -19.9996,        -20.0000,        -20.0005,        -19.9996
         136,        1.125000,        -19.9997,        -20.0002,        -20.0002,        -20.0005,        -20.0000,        -19.9998,        -20.0000,        -20.0002
         137,        1.133333,        -19.9999,        -20.0001,        -19.9995,        -20.0003,        -19.9999,        -20.0002,        -20.0000,        -20.0002
         138,        1.141667,        -20.0001,        -19.9999,        -19.9995,        -19.9998,        -20.0000,        -20.0001,        -19.9998,        -20.0000
         139,        1.150000,        -20.0003,        -20.0002,        -19.9997,        -20.0002,        -19.9998,        -20.0003,        -19.9998,        -19.9999
         140,        1.158333,        -20.0003,        -19.9999,        -20.0006,        -20.0003,        -19.9993,        -19.9998,        -20.0000,        -20.0004
         141,        1.166667,        -20.0001,        -19.9999,        -19.9997,        -19.9995,        -19.9994,        -19.9999,        -20.0002,        -19.9999
         142,        1.175000,        -20.0005,        -20.0000,        -20.0005,        -20.0002,        -20.0002,        -20.0000,        -20.0002,        -20.0001
         143,        1.183333,        -20.0000,        -19.9999,        -20.0006,        -20.0004,        -20.0005,        -20.0000,        -20.0000,        -20.0001
         144,        1.191667,        -20.0001,        -19.9999,        -20.0002,        -19.9999,        -19.9996,        -19.9999,        -19.9999,        -20.0002
         145,        1.200000,        -19.9993,        -20.0001,        -20.0001,        -20.0003,        -20.0002,        -20.0000,        -20.0002,        -20.0001
         146,        1.208333,        -19.9998,        -20.0000,        -19.9999,        -19.9997,        -20.0001,        -20.0000,        -20.0001,        -19.9995
