"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\003\sfe_25.tcf]","Time (h)","Q 1 [sfe_25]","Q 2 [sfe_25]","Q 3 [sfe_25]","Q 4 [sfe_25]"
         213,        3.533333,          0.1878,          0.1878,          0.1878,          0.1878
         214,        3.550000,          0.1878,          0.1876,          0.1878,          0.1878
         215,        3.566667,          0.1878,          0.1878,          0.1878,          0.1878
         216,        3.583333,          0.1879,          0.1880,          0.1878,          0.1878
         217,        3.600000,          0.1878,          0.1878,          0.1878,          0.1878
         218,        3.616667,          0.1878,          0.1878,          0.1878,          0.1878
         219,        3.633333,          0.1879,          0.1876,          0.1878,          0.1878
         220,        3.650000,          0.1878,          0.1880,          0.1878,          0.1878
         221,        3.666667,          0.1878,          0.1880,          0.1878,          0.1878
         222,        3.683333,          0.1878,          0.1880,          0.1878,          0.1878
         223,        3.700000,          0.1878,          0.1877,          0.1878,          0.1878
         224,        3.716667,          0.1878,          0.1878,          0.1878,          0.1878
         225,        3.733333,          0.1879,          0.1878,          0.1878,          0.1878
         226,        3.750000,          0.1879,          0.1879,          0.1878,          0.1878
         227,        3.766667,          0.1877,          0.1879,          0.1878,          0.1878
         228,        3.783333,          0.1878,          0.1879,          0.1878,          0.1878
         229,        3.800000,          0.1878,          0.1879,          0.1878,          0.1878
         230,        3.816667,          0.1878,          0.1880,          0.1878,          0.1878
         231,        3.833333,          0.1878,          0.1879,          0.1878,          0.1878
         232,        3.850000,          0.1878,          0.1879,          0.1878,          0.1878
         233,        3.866667,          0.1878,          0.1877,          0.1878,          0.1878
         234,        3.883333,          0.1878,          0.1879,          0.1878,          0.1878
         235,        3.900000,          0.1878,          0.1879,          0.1878,          0.1878
         236,        3.916667,          0.1878,          0.1878,          0.1878,          0.1878
         237,        3.933333,          0.1878,          0.1879,          0.1878,          0.1878
         238,        3.950000,          0.1880,          0.1879,          0.1878,          0.1878
         239,        3.966667,          0.1877,          0.1878,          0.1878,          0.1878
         240,        3.983333,          0.1878,          0.1877,          0.1878,          0.1878
         241,        4.000000,          0.1878,          0.1879,          0.1878,          0.1878
         242,        4.016667,          0.1878,          0.1878,          0.1878,          0.1878
         243,        4.033333,          0.1878,          0.1877,          0.1878,          0.1878
         244,        4.050000,          0.1878,          0.1877,          0.1878,          0.1878
         245,        4.066667,          0.1878,          0.1878,          0.1878,          0.1878
         246,        4.083333,          0.1878,          0.1880,          0.1878,          0.1878
         247,        4.100000,          0.1878,          0.1878,          0.1878,          0.1878
         248,        4.116667,          0.1878,          0.1878,          0.1878,          0.1878
         249,        4.133333,          0.1878,          0.1878,          0.1878,          0.1878
         250,        4.150000,          0.1879,          0.1879,          0.1878,          0.1878
         251,        4.166667,          0.1878,          0.1880,          0.1878,          0.1878
         252,        4.183333,          0.1878,          0.1877,          0.1878,          0.1878
         253,        4.200000,          0.1878,          0.1878,          0.1878,          0.1878
         254,        4.216667,          0.1878,          0.1875,          0.1878,          0.1878
         255,        4.233333,          0.1878,          0.1879,          0.1878,          0.1878
         256,        4.250000,          0.1878,          0.1878,          0.1878,          0.1878
         257,        4.266667,          0.1878,          0.1877,          0.1878,          0.1878
         258,        4.283333,          0.1878,          0.1878,          0.1878,          0.1878
         259,        4.300000,          0.1878,          0.1878,          0.1878,          0.1878
         260,        4.316667,          0.1878,          0.1879,          0.1878,          0.1878
         261,        4.333333,          0.1878,          0.1880,          0.1878,          0.1878
         262,        4.350000,          0.1878,          0.1878,          0.1878,          0.1878
         263,        4.366667,          0.1878,          0.1879,          0.1878,          0.1878
         264,        4.383333,          0.1879,          0.1879,          0.1878,          0.1878
         265,        4.400000,          0.1879,          0.1878,          0.1878,          0.1878
         266,        4.416667,          0.1878,          0.1879,          0.1878,          0.1878
         267,        4.433333,          0.1878,          0.1878,          0.1878,          0.1878
         268,        4.450000,          0.1878,          0.1878,          0.1878,          0.1878
         269,        4.466667,          0.1878,          0.1877,          0.1878,          0.1878
         270,        4.483333,          0.1878,          0.1878,          0.1878,          0.1878
         271,        4.500000,          0.1879,          0.1878,          0.1878,          0.1878
         272,        4.516667,          0.1878,          0.1877,          0.1878,          0.1878
         273,        4.533333,          0.1878,          0.1880,          0.1878,          0.1878
         274,        4.550000,          0.1877,          0.1878,          0.1878,          0.1878
         275,        4.566667,          0.1878,          0.1878,          0.1878,          0.1878
         276,        4.583333,          0.1878,          0.1878,          0.1878,          0.1878
         277,        4.600000,          0.1878,          0.1879,          0.1878,          0.1878
         278,        4.616667,          0.1879,          0.1878,          0.1878,          0.1878
         279,        4.633333,          0.1876,          0.1879,          0.1878,          0.1878
         280,        4.650000,          0.1878,          0.1879,          0.1878,          0.1878
         281,        4.666667,          0.1879,          0.1877,          0.1878,          0.1878
         282,        4.683333,          0.1879,          0.1880,          0.1878,          0.1878
         283,        4.700000,          0.1878,          0.1879,          0.1878,          0.1878
