"OutphaseC4_019","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_019.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.266667,          1.9875,          1.8569,          2.2293,          1.7945,          1.8179,          2.7003,          0.5415,          1.0243,          1.9736,          2.0612,          0.3793,          1.1948,          1.8687,          3.1515,          4.9354,          0.9941,        -79.9975,        -79.9386,        -79.8820,        -79.6014,        -78.9519,        -77.3674,        -79.9984,        -76.5828
,        0.275000,          1.9875,          1.8558,          2.2292,          1.7943,          1.8182,          2.7004,          0.5441,          1.0240,          1.9765,          2.0572,          0.3783,          1.1913,          1.8696,          3.1490,          4.9496,          0.9941,        -79.9974,        -79.9508,        -79.9061,        -79.6771,        -79.1594,        -77.8561,        -80.0024,        -77.2027
,        0.283333,          1.9876,          1.8550,          2.2296,          1.7949,          1.8184,          2.7003,          0.5437,          1.0266,          1.9726,          2.0542,          0.3739,          1.1821,          1.8713,          3.1479,          4.9602,          0.9941,        -79.9980,        -79.9619,        -79.9269,        -79.7365,        -79.3201,        -78.2495,        -80.0006,        -77.7196
,        0.291667,          1.9875,          1.8543,          2.2296,          1.7949,          1.8186,          2.7002,          0.5425,          1.0245,          1.9760,          2.0520,          0.3731,          1.1822,          1.8721,          3.1470,          4.9664,          0.9941,        -79.9985,        -79.9709,        -79.9429,        -79.7826,        -79.4496,        -78.5714,        -80.0007,        -78.1377
,        0.300000,          1.9875,          1.8539,          2.2295,          1.7936,          1.8177,          2.7001,          0.5440,          1.0178,          1.9710,          2.0497,          0.3754,          1.1998,          1.8708,          3.1445,          4.9729,          0.9941,        -79.9988,        -79.9772,        -79.9546,        -79.8222,        -79.5593,        -78.8382,        -80.0009,        -78.4812
,        0.308333,          1.9875,          1.8535,          2.2294,          1.7928,          1.8176,          2.7003,          0.5451,          1.0230,          1.9760,          2.0493,          0.3733,          1.1896,          1.8709,          3.1417,          4.9775,          0.9941,        -79.9990,        -79.9826,        -79.9641,        -79.8499,        -79.6444,        -79.0577,        -80.0000,        -78.7655
,        0.316667,          1.9876,          1.8532,          2.2293,          1.7922,          1.8179,          2.7004,          0.5453,          1.0238,          1.9768,          2.0476,          0.3746,          1.1899,          1.8724,          3.1451,          4.9819,          0.9941,        -79.9999,        -79.9861,        -79.9721,        -79.8751,        -79.7152,        -79.2337,        -80.0001,        -78.9960
,        0.325000,          1.9876,          1.8530,          2.2293,          1.7918,          1.8179,          2.7004,          0.5451,          1.0225,          1.9751,          2.0470,          0.3726,          1.1888,          1.8718,          3.1424,          4.9859,          0.9941,        -79.9992,        -79.9898,        -79.9781,        -79.8949,        -79.7709,        -79.3787,        -79.9994,        -79.1847
,        0.333333,          1.9875,          1.8528,          2.2294,          1.7915,          1.8180,          2.7003,          0.5450,          1.0209,          1.9751,          2.0464,          0.3737,          1.1865,          1.8726,          3.1426,          4.9886,          0.9941,        -80.0000,        -79.9927,        -79.9827,        -79.9092,        -79.8181,        -79.4961,        -79.9993,        -79.3385
,        0.341667,          1.9875,          1.8526,          2.2294,          1.7912,          1.8181,          2.7002,          0.5453,          1.0205,          1.9755,          2.0455,          0.3739,          1.1902,          1.8719,          3.1418,          4.9908,          0.9941,        -79.9995,        -79.9937,        -79.9875,        -79.9219,        -79.8533,        -79.5907,        -79.9989,        -79.4627
