"VanillaC4_013","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_013.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.233333,          1.4451,          1.0695,          1.4022,          1.3866,          1.4296,          1.0692,          1.1133,          1.1566,          1.1934,          1.2291,          1.0169,          1.2237,          1.4479,          1.4161,          1.3697,          1.4064,        -19.9985,        -19.9939,        -19.9823,        -19.9602,        -19.8632,        -19.7224,        -19.9995,        -19.5866
,        0.241667,          1.4450,          1.0694,          1.4022,          1.3865,          1.4295,          1.0692,          1.1133,          1.1565,          1.1934,          1.2291,          1.0177,          1.2245,          1.4486,          1.4182,          1.3744,          1.4064,        -19.9989,        -19.9954,        -19.9862,        -19.9697,        -19.8945,        -19.7852,        -19.9997,        -19.6799
,        0.250000,          1.4450,          1.0695,          1.4021,          1.3865,          1.4295,          1.0691,          1.1133,          1.1565,          1.1934,          1.2292,          1.0183,          1.2251,          1.4491,          1.4198,          1.3778,          1.4064,        -19.9993,        -19.9965,        -19.9894,        -19.9764,        -19.9184,        -19.8336,        -19.9999,        -19.7502
,        0.258333,          1.4450,          1.0694,          1.4021,          1.3864,          1.4294,          1.0691,          1.1132,          1.1565,          1.1934,          1.2291,          1.0187,          1.2255,          1.4496,          1.4210,          1.3807,          1.4064,        -19.9992,        -19.9974,        -19.9918,        -19.9819,        -19.9371,        -19.8714,        -19.9999,        -19.8056
,        0.266667,          1.4449,          1.0694,          1.4021,          1.3864,          1.4293,          1.0691,          1.1132,          1.1564,          1.1933,          1.2292,          1.0190,          1.2258,          1.4498,          1.4220,          1.3826,          1.4064,        -19.9995,        -19.9981,        -19.9936,        -19.9857,        -19.9514,        -19.9003,        -19.9999,        -19.8502
,        0.275000,          1.4450,          1.0695,          1.4020,          1.3864,          1.4292,          1.0691,          1.1132,          1.1564,          1.1933,          1.2292,          1.0193,          1.2261,          1.4501,          1.4227,          1.3844,          1.4064,        -19.9994,        -19.9983,        -19.9953,        -19.9894,        -19.9625,        -19.9227,        -20.0000,        -19.8841
,        0.283333,          1.4449,          1.0695,          1.4020,          1.3864,          1.4293,          1.0691,          1.1131,          1.1564,          1.1933,          1.2292,          1.0195,          1.2263,          1.4503,          1.4234,          1.3859,          1.4064,        -19.9998,        -19.9989,        -19.9964,        -19.9915,        -19.9710,        -19.9406,        -20.0002,        -19.9111
,        0.291667,          1.4449,          1.0694,          1.4020,          1.3863,          1.4293,          1.0691,          1.1131,          1.1564,          1.1933,          1.2292,          1.0196,          1.2264,          1.4504,          1.4238,          1.3865,          1.4063,        -19.9997,        -19.9990,        -19.9973,        -19.9936,        -19.9778,        -19.9540,        -19.9998,        -19.9302
,        0.300000,          1.4449,          1.0694,          1.4020,          1.3863,          1.4292,          1.0692,          1.1131,          1.1564,          1.1933,          1.2292,          1.0197,          1.2265,          1.4506,          1.4240,          1.3871,          1.4063,        -20.0000,        -19.9992,        -19.9978,        -19.9953,        -19.9826,        -19.9644,        -19.9999,        -19.9465
,        0.308333,          1.4450,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1564,          1.1933,          1.2292,          1.0198,          1.2266,          1.4506,          1.4243,          1.3878,          1.4064,        -20.0000,        -19.9992,        -19.9985,        -19.9962,        -19.9866,        -19.9725,        -20.0000,        -19.9585
,        0.316667,          1.4449,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1564,          1.1933,          1.2292,          1.0199,          1.2267,          1.4506,          1.4246,          1.3884,          1.4063,        -19.9998,        -19.9994,        -19.9988,        -19.9972,        -19.9896,        -19.9786,        -20.0000,        -19.9686
,        0.325000,          1.4449,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1563,          1.1933,          1.2292,          1.0199,          1.2267,          1.4507,          1.4249,          1.3891,          1.4064,        -20.0001,        -19.9996,        -19.9992,        -19.9976,        -19.9920,        -19.9835,        -20.0002,        -19.9757
,        0.333333,          1.4450,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1563,          1.1933,          1.2292,          1.0200,          1.2268,          1.4508,          1.4249,          1.3893,          1.4064,        -19.9999,        -19.9999,        -19.9992,        -19.9984,        -19.9939,        -19.9872,        -20.0000,        -19.9807
