"OutphaseC4_011 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_011.tcf]","Time (h)","Q 2 [OutphaseC4_011]","Q 3 [OutphaseC4_011]","Q 4 [OutphaseC4_011]","Q 5 [OutphaseC4_011]","Q 6 [OutphaseC4_011]","Q 7 [OutphaseC4_011]","Q 1 [OutphaseC4_011]","Q  8 [OutphaseC4_011]"
          98,        0.808333,        -12.0001,        -11.9984,        -11.9965,        -11.9958,        -11.9947,        -11.9841,        -12.0594,        -11.9811
          99,        0.816667,        -12.0070,        -11.9993,        -11.9972,        -11.9975,        -11.9957,        -11.9859,        -12.2391,        -11.9831
         100,        0.825000,        -12.0031,        -11.9907,        -11.9967,        -11.9976,        -11.9955,        -11.9867,        -11.9923,        -11.9853
         101,        0.833333,        -11.9959,        -11.9955,        -11.9958,        -11.9946,        -11.9953,        -11.9893,        -11.8633,        -11.9868
         102,        0.841667,        -11.9927,        -11.9969,        -11.9972,        -11.9974,        -11.9961,        -11.9902,        -11.8972,        -11.9883
         103,        0.850000,        -11.9990,        -11.9998,        -11.9957,        -11.9944,        -11.9957,        -11.9905,        -12.0508,        -11.9894
         104,        0.858333,        -12.0033,        -11.9980,        -11.9965,        -11.9965,        -11.9960,        -11.9908,        -12.1694,        -11.9905
         105,        0.866667,        -12.0032,        -11.9923,        -11.9958,        -11.9956,        -11.9954,        -11.9934,        -12.1766,        -11.9913
         106,        0.875000,        -12.0014,        -11.9944,        -11.9951,        -11.9966,        -11.9955,        -11.9929,        -11.7697,        -11.9917
         107,        0.883333,        -11.9904,        -11.9943,        -11.9964,        -11.9963,        -11.9952,        -11.9929,        -11.9929,        -11.9922
         108,        0.891667,        -11.9972,        -11.9972,        -11.9955,        -11.9955,        -11.9949,        -11.9930,        -12.0755,        -11.9929
         109,        0.900000,        -11.9995,        -11.9970,        -11.9963,        -11.9964,        -11.9957,        -11.9939,        -12.2065,        -11.9932
         110,        0.908333,        -12.0025,        -11.9925,        -11.9953,        -11.9954,        -11.9950,        -11.9948,        -12.1504,        -11.9936
         111,        0.916667,        -12.0025,        -11.9951,        -11.9952,        -11.9939,        -11.9950,        -11.9934,        -11.8195,        -11.9936
         112,        0.925000,        -11.9920,        -11.9929,        -11.9959,        -11.9970,        -11.9953,        -11.9943,        -11.9292,        -11.9940
         113,        0.933333,        -11.9958,        -11.9972,        -11.9951,        -11.9927,        -11.9947,        -11.9934,        -12.1018,        -11.9941
         114,        0.941667,        -12.0009,        -11.9979,        -11.9959,        -11.9965,        -11.9950,        -11.9942,        -12.2918,        -11.9940
         115,        0.950000,        -12.0024,        -11.9942,        -11.9952,        -11.9951,        -11.9944,        -11.9947,        -12.0667,        -11.9947
         116,        0.958333,        -12.0008,        -11.9950,        -11.9956,        -11.9952,        -11.9946,        -11.9938,        -11.9330,        -11.9942
         117,        0.966667,        -11.9954,        -11.9909,        -11.9959,        -11.9952,        -11.9943,        -11.9943,        -11.7630,        -11.9947
         118,        0.975000,        -11.9941,        -11.9960,        -11.9958,        -11.9945,        -11.9941,        -11.9948,        -12.0819,        -11.9942
         119,        0.983333,        -12.0031,        -11.9973,        -11.9964,        -11.9957,        -11.9943,        -11.9940,        -12.2598,        -11.9939
         120,        0.991667,        -12.0027,        -11.9958,        -11.9959,        -11.9954,        -11.9944,        -11.9945,        -12.1165,        -11.9942
         121,        1.000000,        -11.9988,        -11.9948,        -11.9960,        -11.9975,        -11.9942,        -11.9942,        -11.9246,        -11.9942
         122,        1.008333,        -11.9955,        -11.9917,        -11.9964,        -11.9952,        -11.9941,        -11.9940,        -11.6709,        -11.9939
         123,        1.016667,        -11.9945,        -11.9949,        -11.9963,        -11.9960,        -11.9941,        -11.9946,        -11.9459,        -11.9942
         124,        1.025000,        -12.0041,        -11.9980,        -11.9968,        -11.9953,        -11.9941,        -11.9944,        -12.1553,        -11.9937
         125,        1.033333,        -12.0055,        -11.9960,        -11.9962,        -11.9949,        -11.9938,        -11.9944,        -12.2636,        -11.9938
         126,        1.041667,        -11.9998,        -11.9955,        -11.9964,        -11.9954,        -11.9936,        -11.9941,        -11.8842,        -11.9938
         127,        1.050000,        -11.9936,        -11.9933,        -11.9969,        -11.9955,        -11.9934,        -11.9934,        -11.7651,        -11.9936
         128,        1.058333,        -11.9966,        -11.9962,        -11.9969,        -11.9954,        -11.9939,        -11.9939,        -11.7304,        -11.9936
         129,        1.066667,        -12.0031,        -11.9974,        -11.9971,        -11.9957,        -11.9936,        -11.9943,        -12.0645,        -11.9936
         130,        1.075000,        -12.0088,        -11.9973,        -11.9964,        -11.9941,        -11.9933,        -11.9934,        -12.2756,        -11.9935
         131,        1.083333,        -12.0027,        -11.9964,        -11.9967,        -11.9951,        -11.9933,        -11.9933,        -11.9839,        -11.9935
         132,        1.091667,        -11.9946,        -11.9939,        -11.9971,        -11.9952,        -11.9931,        -11.9931,        -11.8517,        -11.9933
         133,        1.100000,        -11.9960,        -11.9965,        -11.9973,        -11.9957,        -11.9932,        -11.9919,        -11.6360,        -11.9932
         134,        1.108333,        -12.0015,        -11.9973,        -11.9977,        -11.9951,        -11.9934,        -11.9927,        -11.9580,        -11.9931
         135,        1.116667,        -12.0093,        -11.9968,        -11.9973,        -11.9954,        -11.9930,        -11.9939,        -12.1872,        -11.9929
         136,        1.125000,        -12.0060,        -11.9970,        -11.9971,        -11.9965,        -11.9933,        -11.9927,        -12.2050,        -11.9929
         137,        1.133333,        -11.9985,        -11.9955,        -11.9974,        -11.9959,        -11.9928,        -11.9924,        -11.8047,        -11.9925
         138,        1.141667,        -11.9947,        -11.9977,        -11.9979,        -11.9964,        -11.9931,        -11.9931,        -11.7817,        -11.9927
         139,        1.150000,        -11.9999,        -11.9983,        -11.9982,        -11.9963,        -11.9932,        -11.9925,        -11.8178,        -11.9925
         140,        1.158333,        -12.0045,        -11.9978,        -11.9976,        -11.9958,        -11.9928,        -11.9919,        -12.1107,        -11.9925
         141,        1.166667,        -12.0075,        -11.9978,        -11.9976,        -11.9957,        -11.9928,        -11.9918,        -12.2779,        -11.9923
         142,        1.175000,        -12.0023,        -11.9989,        -11.9974,        -11.9947,        -11.9930,        -11.9927,        -11.8431,        -11.9924
         143,        1.183333,        -11.9961,        -11.9995,        -11.9982,        -11.9951,        -11.9930,        -11.9918,        -11.9025,        -11.9922
         144,        1.191667,        -11.9984,        -11.9985,        -11.9987,        -11.9943,        -11.9933,        -11.9924,        -11.7864,        -11.9918
         145,        1.200000,        -11.9993,        -11.9994,        -11.9980,        -11.9933,        -11.9931,        -11.9914,        -12.0837,        -11.9916
         146,        1.208333,        -12.0061,        -11.9986,        -11.9982,        -11.9945,        -11.9935,        -11.9915,        -12.1937,        -11.9916
         147,        1.216667,        -12.0038,        -11.9998,        -11.9980,        -11.9953,        -11.9932,        -11.9914,        -12.0593,        -11.9917
         148,        1.225000,        -11.9994,        -11.9993,        -11.9985,        -11.9957,        -11.9936,        -11.9914,        -11.8240,        -11.9915
         149,        1.233333,        -11.9946,        -11.9989,        -11.9989,        -11.9947,        -11.9940,        -11.9920,        -11.9104,        -11.9917
         150,        1.241667,        -11.9979,        -11.9991,        -11.9989,        -11.9961,        -11.9941,        -11.9904,        -12.0788,        -11.9916
         151,        1.250000,        -12.0023,        -11.9983,        -11.9984,        -11.9959,        -11.9942,        -11.9912,        -12.1772,        -11.9916
         152,        1.258333,        -12.0042,        -11.9994,        -11.9984,        -11.9960,        -11.9944,        -11.9916,        -12.1815,        -11.9916
         153,        1.266667,        -12.0019,        -12.0001,        -11.9987,        -11.9958,        -11.9949,        -11.9919,        -11.7806,        -11.9915
         154,        1.275000,        -11.9922,        -11.9979,        -11.9995,        -11.9974,        -11.9949,        -11.9916,        -12.0214,        -11.9913
         155,        1.283333,        -11.9979,        -11.9993,        -11.9991,        -11.9959,        -11.9949,        -11.9913,        -12.0901,        -11.9915
         156,        1.291667,        -11.9981,        -11.9992,        -11.9990,        -11.9971,        -11.9953,        -11.9923,        -12.2679,        -11.9916
         157,        1.300000,        -12.0022,        -11.9998,        -11.9985,        -11.9957,        -11.9955,        -11.9909,        -12.1198,        -11.9914
         158,        1.308333,        -12.0014,        -11.9998,        -11.9989,        -11.9965,        -11.9954,        -11.9920,        -11.8678,        -11.9916
         159,        1.316667,        -11.9937,        -11.9973,        -11.9997,        -11.9956,        -11.9959,        -11.9914,        -11.9228,        -11.9913
