"VanillaC4_003 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_003.tcf]","Time (h)","V 2 [VanillaC4_003]","V 3 [VanillaC4_003]","V 4 [VanillaC4_003]","V 5 [VanillaC4_003]","V 6 [VanillaC4_003]","V 7 [VanillaC4_003]","V 8 [VanillaC4_003]","V 9 [VanillaC4_003]","V 10 [VanillaC4_003]","V 11 [VanillaC4_003]","V 12 [VanillaC4_003]","V 13 [VanillaC4_003]","V 14 [VanillaC4_003]","V 15 [VanillaC4_003]","V 16 [VanillaC4_003]","V  1 [VanillaC4_003]"
          47,        0.383333,          0.8115,          0.2228,          0.7409,          0.7199,          0.7774,          0.2238,          0.3161,          0.3861,          0.4422,          0.4962,          0.0726,          0.4954,          0.8119,          0.7908,          0.7779,          0.7921
          48,        0.391667,          0.8115,          0.2228,          0.7408,          0.7200,          0.7774,          0.2238,          0.3161,          0.3861,          0.4422,          0.4962,          0.0732,          0.4955,          0.8121,          0.7910,          0.7787,          0.7922
          49,        0.400000,          0.8116,          0.2228,          0.7408,          0.7199,          0.7774,          0.2238,          0.3161,          0.3862,          0.4423,          0.4963,          0.0736,          0.4956,          0.8119,          0.7911,          0.7793,          0.7922
          50,        0.408333,          0.8116,          0.2229,          0.7409,          0.7200,          0.7774,          0.2237,          0.3161,          0.3862,          0.4423,          0.4962,          0.0739,          0.4957,          0.8120,          0.7911,          0.7798,          0.7922
          51,        0.416667,          0.8116,          0.2229,          0.7409,          0.7199,          0.7774,          0.2238,          0.3161,          0.3861,          0.4423,          0.4963,          0.0742,          0.4957,          0.8120,          0.7911,          0.7802,          0.7922
          52,        0.425000,          0.8115,          0.2228,          0.7409,          0.7200,          0.7774,          0.2237,          0.3161,          0.3862,          0.4422,          0.4962,          0.0742,          0.4958,          0.8119,          0.7912,          0.7804,          0.7921
          53,        0.433333,          0.8116,          0.2228,          0.7409,          0.7200,          0.7773,          0.2238,          0.3162,          0.3862,          0.4423,          0.4963,          0.0745,          0.4958,          0.8119,          0.7911,          0.7805,          0.7921
          54,        0.441667,          0.8116,          0.2228,          0.7409,          0.7200,          0.7775,          0.2237,          0.3160,          0.3862,          0.4423,          0.4962,          0.0746,          0.4958,          0.8119,          0.7912,          0.7808,          0.7921
          55,        0.450000,          0.8115,          0.2229,          0.7409,          0.7200,          0.7774,          0.2238,          0.3160,          0.3862,          0.4423,          0.4963,          0.0747,          0.4959,          0.8119,          0.7912,          0.7809,          0.7921
          56,        0.458333,          0.8116,          0.2228,          0.7409,          0.7200,          0.7773,          0.2237,          0.3161,          0.3862,          0.4423,          0.4963,          0.0747,          0.4959,          0.8119,          0.7913,          0.7810,          0.7921
          57,        0.466667,          0.8116,          0.2228,          0.7408,          0.7200,          0.7774,          0.2238,          0.3161,          0.3862,          0.4423,          0.4963,          0.0747,          0.4958,          0.8119,          0.7912,          0.7810,          0.7922
          58,        0.475000,          0.8116,          0.2228,          0.7409,          0.7199,          0.7774,          0.2238,          0.3162,          0.3862,          0.4423,          0.4963,          0.0747,          0.4958,          0.8119,          0.7913,          0.7811,          0.7922
          59,        0.483333,          0.8115,          0.2229,          0.7409,          0.7199,          0.7774,          0.2238,          0.3161,          0.3862,          0.4423,          0.4963,          0.0747,          0.4959,          0.8119,          0.7912,          0.7810,          0.7922
          60,        0.491667,          0.8116,          0.2228,          0.7409,          0.7200,          0.7774,          0.2237,          0.3161,          0.3862,          0.4423,          0.4963,          0.0747,          0.4959,          0.8120,          0.7913,          0.7811,          0.7922
          61,        0.500000,          0.8116,          0.2229,          0.7408,          0.7200,          0.7774,          0.2237,          0.3161,          0.3861,          0.4424,          0.4963,          0.0747,          0.4959,          0.8119,          0.7913,          0.7812,          0.7921
          62,        0.508333,          0.8116,          0.2228,          0.7409,          0.7199,          0.7774,          0.2237,          0.3162,          0.3862,          0.4423,          0.4962,          0.0748,          0.4959,          0.8120,          0.7912,          0.7811,          0.7922
          63,        0.516667,          0.8116,          0.2228,          0.7409,          0.7200,          0.7774,          0.2238,          0.3161,          0.3861,          0.4423,          0.4963,          0.0748,          0.4959,          0.8119,          0.7912,          0.7812,          0.7922
          64,        0.525000,          0.8116,          0.2228,          0.7409,          0.7200,          0.7774,          0.2237,          0.3160,          0.3862,          0.4423,          0.4963,          0.0748,          0.4959,          0.8120,          0.7913,          0.7812,          0.7922
          65,        0.533333,          0.8116,          0.2228,          0.7409,          0.7199,          0.7775,          0.2238,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7812,          0.7922
          66,        0.541667,          0.8115,          0.2228,          0.7409,          0.7199,          0.7774,          0.2238,          0.3161,          0.3862,          0.4423,          0.4964,          0.0749,          0.4959,          0.8119,          0.7913,          0.7812,          0.7921
          67,        0.550000,          0.8116,          0.2228,          0.7409,          0.7199,          0.7774,          0.2237,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7912,          0.7812,          0.7921
          68,        0.558333,          0.8116,          0.2228,          0.7409,          0.7199,          0.7774,          0.2237,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7812,          0.7922
          69,        0.566667,          0.8116,          0.2228,          0.7409,          0.7200,          0.7773,          0.2238,          0.3161,          0.3862,          0.4423,          0.4964,          0.0749,          0.4959,          0.8119,          0.7912,          0.7811,          0.7921
          70,        0.575000,          0.8115,          0.2229,          0.7409,          0.7199,          0.7774,          0.2237,          0.3161,          0.3863,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7812,          0.7921
          71,        0.583333,          0.8115,          0.2228,          0.7409,          0.7200,          0.7774,          0.2238,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7813,          0.7921
          72,        0.591667,          0.8116,          0.2229,          0.7409,          0.7200,          0.7774,          0.2238,          0.3161,          0.3862,          0.4424,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7813,          0.7922
          73,        0.600000,          0.8116,          0.2228,          0.7409,          0.7199,          0.7774,          0.2238,          0.3161,          0.3862,          0.4422,          0.4963,          0.0749,          0.4958,          0.8119,          0.7912,          0.7812,          0.7921
          74,        0.608333,          0.8115,          0.2228,          0.7409,          0.7200,          0.7774,          0.2238,          0.3161,          0.3861,          0.4423,          0.4963,          0.0749,          0.4958,          0.8119,          0.7913,          0.7812,          0.7922
          75,        0.616667,          0.8115,          0.2228,          0.7409,          0.7199,          0.7774,          0.2238,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7812,          0.7922
          76,        0.625000,          0.8116,          0.2229,          0.7409,          0.7199,          0.7775,          0.2237,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7812,          0.7922
          77,        0.633333,          0.8115,          0.2228,          0.7408,          0.7200,          0.7775,          0.2237,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7912,          0.7812,          0.7921
          78,        0.641667,          0.8115,          0.2228,          0.7409,          0.7199,          0.7773,          0.2238,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7812,          0.7922
          79,        0.650000,          0.8115,          0.2228,          0.7409,          0.7200,          0.7774,          0.2237,          0.3160,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7811,          0.7922
          80,        0.658333,          0.8116,          0.2229,          0.7409,          0.7199,          0.7774,          0.2237,          0.3160,          0.3861,          0.4423,          0.4963,          0.0749,          0.4959,          0.8120,          0.7913,          0.7811,          0.7922
          81,        0.666667,          0.8116,          0.2228,          0.7409,          0.7200,          0.7775,          0.2237,          0.3161,          0.3862,          0.4423,          0.4962,          0.0749,          0.4959,          0.8119,          0.7912,          0.7813,          0.7922
          82,        0.675000,          0.8115,          0.2228,          0.7409,          0.7199,          0.7774,          0.2237,          0.3160,          0.3861,          0.4423,          0.4962,          0.0748,          0.4959,          0.8119,          0.7913,          0.7812,          0.7922
          83,        0.683333,          0.8116,          0.2228,          0.7409,          0.7199,          0.7774,          0.2238,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4958,          0.8119,          0.7913,          0.7813,          0.7922
          84,        0.691667,          0.8115,          0.2228,          0.7408,          0.7200,          0.7774,          0.2237,          0.3161,          0.3862,          0.4424,          0.4963,          0.0749,          0.4959,          0.8120,          0.7912,          0.7812,          0.7921
          85,        0.700000,          0.8116,          0.2229,          0.7409,          0.7200,          0.7774,          0.2238,          0.3161,          0.3861,          0.4423,          0.4964,          0.0749,          0.4959,          0.8118,          0.7913,          0.7812,          0.7922
          86,        0.708333,          0.8116,          0.2229,          0.7409,          0.7200,          0.7774,          0.2237,          0.3161,          0.3863,          0.4423,          0.4964,          0.0749,          0.4959,          0.8119,          0.7912,          0.7812,          0.7922
          87,        0.716667,          0.8116,          0.2228,          0.7409,          0.7200,          0.7774,          0.2238,          0.3160,          0.3862,          0.4423,          0.4963,          0.0749,          0.4959,          0.8120,          0.7913,          0.7812,          0.7922
          88,        0.725000,          0.8115,          0.2228,          0.7409,          0.7200,          0.7774,          0.2238,          0.3161,          0.3862,          0.4424,          0.4963,          0.0749,          0.4959,          0.8118,          0.7913,          0.7812,          0.7922
          89,        0.733333,          0.8116,          0.2229,          0.7409,          0.7200,          0.7774,          0.2237,          0.3161,          0.3861,          0.4423,          0.4963,          0.0749,          0.4959,          0.8119,          0.7913,          0.7812,          0.7921
          90,        0.741667,          0.8116,          0.2229,          0.7408,          0.7200,          0.7774,          0.2238,          0.3161,          0.3862,          0.4423,          0.4963,          0.0749,          0.4958,          0.8119,          0.7913,          0.7812,          0.7922
