"VanillaC4_003","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_003.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.450000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4607,       -121.4594,       -121.4593,       -121.4595,       -121.4607,       -121.4599,       -121.4596,       -121.4599
,        0.466667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4101,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4588,       -121.4603,       -121.4604,       -121.4602,       -121.4598,       -121.4597,       -121.4606,       -121.4595
,        0.483333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4607,       -121.4598,       -121.4594,       -121.4601,       -121.4601,       -121.4595,       -121.4600,       -121.4593
,        0.500000,          2.3863,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4597,       -121.4602,       -121.4597,       -121.4601,       -121.4589,       -121.4600,       -121.4600,       -121.4603
,        0.516667,          2.3863,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4519,          2.4523,          2.3082,       -121.4601,       -121.4603,       -121.4605,       -121.4596,       -121.4604,       -121.4595,       -121.4590,       -121.4601
,        0.533333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4101,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4598,       -121.4598,       -121.4600,       -121.4603,       -121.4600,       -121.4599,       -121.4613,       -121.4600
,        0.550000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4604,       -121.4600,       -121.4597,       -121.4601,       -121.4597,       -121.4600,       -121.4603,       -121.4601
,        0.566667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4101,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4601,       -121.4601,       -121.4604,       -121.4592,       -121.4596,       -121.4608,       -121.4587,       -121.4604
,        0.583333,          2.3862,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4602,       -121.4601,       -121.4607,       -121.4595,       -121.4598,       -121.4595,       -121.4591,       -121.4603
,        0.600000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4598,       -121.4605,       -121.4598,       -121.4595,       -121.4599,       -121.4599,       -121.4602,       -121.4600
,        0.616667,          2.3862,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4601,       -121.4600,       -121.4598,       -121.4598,       -121.4603,       -121.4594,       -121.4588,       -121.4599
,        0.633333,          2.3862,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4595,       -121.4599,       -121.4595,       -121.4598,       -121.4601,       -121.4593,       -121.4607,       -121.4603
,        0.650000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4604,       -121.4595,       -121.4602,       -121.4594,       -121.4605,       -121.4603,       -121.4600,       -121.4596
,        0.666667,          2.3862,          2.2729,          2.4064,          2.4479,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4602,       -121.4611,       -121.4598,       -121.4607,       -121.4607,       -121.4601,       -121.4599,       -121.4597
,        0.683333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4609,       -121.4604,       -121.4602,       -121.4597,       -121.4598,       -121.4601,       -121.4585,       -121.4598
,        0.700000,          2.3863,          2.2729,          2.4064,          2.4479,          2.4101,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4597,       -121.4607,       -121.4601,       -121.4602,       -121.4601,       -121.4598,       -121.4589,       -121.4603
,        0.716667,          2.3863,          2.2729,          2.4064,          2.4479,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4605,       -121.4607,       -121.4600,       -121.4597,       -121.4606,       -121.4601,       -121.4601,       -121.4601
,        0.733333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4599,       -121.4599,       -121.4599,       -121.4600,       -121.4602,       -121.4593,       -121.4604,       -121.4591
,        0.750000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4101,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4594,       -121.4608,       -121.4598,       -121.4602,       -121.4599,       -121.4599,       -121.4613,       -121.4600
,        0.766667,          2.3863,          2.2729,          2.4065,          2.4479,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3081,       -121.4591,       -121.4604,       -121.4607,       -121.4600,       -121.4604,       -121.4598,       -121.4618,       -121.4602
,        0.783333,          2.3862,          2.2729,          2.4065,          2.4479,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4607,       -121.4602,       -121.4604,       -121.4598,       -121.4608,       -121.4599,       -121.4599,       -121.4596
,        0.800000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4605,       -121.4593,       -121.4598,       -121.4599,       -121.4601,       -121.4605,       -121.4612,       -121.4596
,        0.816667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4593,       -121.4605,       -121.4607,       -121.4596,       -121.4596,       -121.4600,       -121.4596,       -121.4597
,        0.833333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4598,       -121.4597,       -121.4595,       -121.4601,       -121.4599,       -121.4599,       -121.4587,       -121.4596
,        0.850000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4607,       -121.4609,       -121.4600,       -121.4598,       -121.4604,       -121.4594,       -121.4603,       -121.4599
,        0.866667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4597,       -121.4600,       -121.4599,       -121.4588,       -121.4599,       -121.4602,       -121.4569,       -121.4602
,        0.883333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4604,       -121.4607,       -121.4599,       -121.4599,       -121.4607,       -121.4608,       -121.4593,       -121.4606
,        0.900000,          2.3863,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4599,       -121.4599,       -121.4595,       -121.4589,       -121.4590,       -121.4604,       -121.4616,       -121.4604
,        0.916667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4595,       -121.4591,       -121.4602,       -121.4605,       -121.4599,       -121.4603,       -121.4605,       -121.4603
,        0.933333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4605,       -121.4600,       -121.4600,       -121.4602,       -121.4602,       -121.4596,       -121.4614,       -121.4601
,        0.950000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3083,       -121.4606,       -121.4601,       -121.4595,       -121.4596,       -121.4602,       -121.4602,       -121.4602,       -121.4601
,        0.966667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4598,       -121.4599,       -121.4600,       -121.4602,       -121.4601,       -121.4599,       -121.4588,       -121.4593
,        0.983333,          2.3863,          2.2729,          2.4064,          2.4479,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4596,       -121.4605,       -121.4604,       -121.4601,       -121.4601,       -121.4599,       -121.4600,       -121.4594
,        1.000000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4594,       -121.4595,       -121.4601,       -121.4596,       -121.4603,       -121.4606,       -121.4595,       -121.4601
,        1.016667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4601,       -121.4596,       -121.4602,       -121.4601,       -121.4601,       -121.4598,       -121.4610,       -121.4599
,        1.033333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4592,       -121.4594,       -121.4596,       -121.4602,       -121.4597,       -121.4600,       -121.4599,       -121.4604
,        1.050000,          2.3862,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4604,       -121.4603,       -121.4600,       -121.4597,       -121.4603,       -121.4603,       -121.4593,       -121.4603
,        1.066667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4582,       -121.4600,       -121.4603,       -121.4598,       -121.4599,       -121.4604,       -121.4590,       -121.4599
,        1.083333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4101,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4603,       -121.4604,       -121.4602,       -121.4607,       -121.4601,       -121.4596,       -121.4596,       -121.4597
,        1.100000,          2.3863,          2.2729,          2.4064,          2.4479,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4596,       -121.4597,       -121.4607,       -121.4595,       -121.4601,       -121.4595,       -121.4591,       -121.4597
