"OutphaseC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_006.tcf]","Time (h)","V 2 [OutphaseC4_006]","V 3 [OutphaseC4_006]","V 4 [OutphaseC4_006]","V 5 [OutphaseC4_006]","V 6 [OutphaseC4_006]","V 7 [OutphaseC4_006]","V 8 [OutphaseC4_006]","V 9 [OutphaseC4_006]","V 10 [OutphaseC4_006]","V 11 [OutphaseC4_006]","V 12 [OutphaseC4_006]","V 13 [OutphaseC4_006]","V 14 [OutphaseC4_006]","V 15 [OutphaseC4_006]","V 16 [OutphaseC4_006]","V  1 [OutphaseC4_006]"
          51,        0.416667,          0.8812,          0.0000,          0.3804,          0.2777,          0.4841,          0.0000,          0.1933,          0.0513,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2588
          52,        0.425000,          0.8787,          0.0000,          0.3808,          0.2786,          0.4876,          0.0000,          0.1894,          0.0535,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2553
          53,        0.433333,          0.8810,          0.0000,          0.3804,          0.2777,          0.4901,          0.0000,          0.1846,          0.0560,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2606
          54,        0.441667,          0.8809,          0.0000,          0.3813,          0.2768,          0.4919,          0.0000,          0.1788,          0.0573,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2564
          55,        0.450000,          0.8798,          0.0000,          0.3820,          0.2785,          0.4954,          0.0000,          0.1736,          0.0601,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2567
          56,        0.458333,          0.8813,          0.0000,          0.3831,          0.2810,          0.4965,          0.0000,          0.1678,          0.0631,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2591
          57,        0.466667,          0.8789,          0.0000,          0.3843,          0.2818,          0.4976,          0.0000,          0.1618,          0.0662,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2554
          58,        0.475000,          0.8809,          0.0000,          0.3841,          0.2828,          0.4988,          0.0000,          0.1560,          0.0701,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2617
          59,        0.483333,          0.8809,          0.0000,          0.3847,          0.2838,          0.4998,          0.0000,          0.1502,          0.0744,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2565
          60,        0.491667,          0.8797,          0.0000,          0.3846,          0.2858,          0.5022,          0.0000,          0.1456,          0.0784,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2566
          61,        0.500000,          0.8813,          0.0000,          0.3851,          0.2888,          0.5025,          0.0000,          0.1408,          0.0827,          0.0000,          0.0000,          0.0382,          0.0787,          0.0000,          0.0000,          0.0000,          0.2595
          62,        0.508333,          0.8790,          0.0000,          0.3859,          0.2903,          0.5034,          0.0000,          0.1364,          0.0856,          0.0000,          0.0000,          0.0634,          0.0658,          0.0000,          0.0000,          0.0000,          0.2555
          63,        0.516667,          0.8811,          0.0000,          0.3857,          0.2917,          0.5041,          0.0000,          0.1322,          0.0875,          0.0000,          0.0000,          0.0839,          0.0663,          0.0000,          0.0000,          0.0000,          0.2630
          64,        0.525000,          0.8808,          0.0000,          0.3864,          0.2919,          0.5045,          0.0000,          0.1273,          0.0888,          0.0000,          0.0000,          0.1017,          0.0746,          0.0000,          0.0000,          0.0000,          0.2566
          65,        0.533333,          0.8795,          0.0000,          0.3860,          0.2924,          0.5059,          0.0000,          0.1240,          0.0912,          0.0000,          0.0000,          0.1198,          0.0739,          0.1235,          0.0000,          0.0000,          0.2563
