"VanillaC4_001 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_001.tcf]","Time (h)","V 2 [VanillaC4_001]","V 3 [VanillaC4_001]","V 4 [VanillaC4_001]","V 5 [VanillaC4_001]","V 6 [VanillaC4_001]","V 7 [VanillaC4_001]","V 8 [VanillaC4_001]","V 9 [VanillaC4_001]","V 10 [VanillaC4_001]","V 11 [VanillaC4_001]","V 12 [VanillaC4_001]","V 13 [VanillaC4_001]","V 14 [VanillaC4_001]","V 15 [VanillaC4_001]","V 16 [VanillaC4_001]","V  1 [VanillaC4_001]"
          38,        0.308333,          0.5789,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1022,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.5563
          39,        0.316667,          0.5788,          0.0000,          0.4950,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1229,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.5563
          40,        0.325000,          0.5789,          0.0000,          0.4949,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1356,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.5563
          41,        0.333333,          0.5788,          0.0000,          0.4950,          0.4699,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1440,          0.0000,          0.0000,          0.5717,          0.0000,          0.0001,          0.5562
          42,        0.341667,          0.5789,          0.0000,          0.4950,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1497,          0.0000,          0.0000,          0.5774,          0.0000,          0.0001,          0.5562
          43,        0.350000,          0.5788,          0.0000,          0.4950,          0.4699,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1535,          0.0000,          0.0613,          0.5789,          0.0000,          0.0003,          0.5562
          44,        0.358333,          0.5788,          0.0000,          0.4949,          0.4699,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1564,          0.0000,          0.0992,          0.5783,          0.5188,          0.0001,          0.5563
          45,        0.366667,          0.5788,          0.0000,          0.4949,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1582,          0.0000,          0.1207,          0.5792,          0.5441,          0.0001,          0.5562
          46,        0.375000,          0.5789,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1595,          0.0000,          0.1338,          0.5797,          0.5493,          0.0001,          0.5563
          47,        0.383333,          0.5788,          0.0000,          0.4950,          0.4699,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1604,          0.0000,          0.1427,          0.5799,          0.5513,          0.2390,          0.5562
