iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
154,20.4899,0.23781,0.236587,0.842148,0.920715,0.300049,81.6521
155,20.7265,0.237771,0.236587,0.841904,0.920563,0.300034,81.856
156,20.9631,0.237745,0.236587,0.841934,0.920456,0.300003,82.0552
157,21.1997,0.237742,0.236587,0.841644,0.920456,0.299973,82.25
158,21.4363,0.237764,0.236587,0.841064,0.920532,0.299973,82.4403
159,21.6729,0.237786,0.236587,0.840668,0.920624,0.299927,82.6262
160,21.9095,0.237844,0.236587,0.840317,0.920853,0.299911,82.8078
161,22.1461,0.237914,0.236587,0.839432,0.921112,0.299911,82.9852
162,22.3826,0.237984,0.236587,0.838623,0.921387,0.299911,83.1586
163,22.6192,0.238055,0.236587,0.837738,0.921661,0.299911,83.328
164,22.8573,0.238125,0.238094,0.837067,0.921936,0.299942,83.5013
165,23.0954,0.238171,0.238094,0.836304,0.922119,0.299957,83.6709
166,23.3335,0.238205,0.238094,0.835617,0.922241,0.299988,83.837
167,23.5716,0.238215,0.238094,0.834778,0.922287,0.299988,83.9997
168,23.8097,0.238224,0.238094,0.833801,0.922318,0.299988,84.1591
169,24.0478,0.238234,0.238094,0.832672,0.922363,0.299988,84.3153
170,24.2859,0.238244,0.238094,0.831421,0.922394,0.299973,84.4684
171,24.524,0.238266,0.238094,0.830124,0.922485,0.299973,84.6184
172,24.7621,0.238287,0.238094,0.82869,0.922562,0.299957,84.7654
173,25.0002,0.238321,0.238094,0.827118,0.922699,0.299988,84.9095
174,25.2383,0.238331,0.238094,0.825241,0.922729,0.299988,85.0509
175,25.4764,0.238341,0.238094,0.823074,0.922775,0.299988,85.1896
176,25.7144,0.23835,0.238094,0.820618,0.922806,0.299988,85.3257
177,25.9525,0.23836,0.238094,0.817856,0.922852,0.299973,85.4592
178,26.1906,0.238382,0.238094,0.815048,0.922928,0.299957,85.5902
179,26.4287,0.238416,0.238094,0.812241,0.923065,0.299973,85.7187
180,26.6668,0.238438,0.238094,0.809525,0.923141,0.300003,85.8449
181,26.9049,0.238435,0.238094,0.806976,0.923141,0.300018,85.969
182,27.143,0.238421,0.238094,0.804581,0.92308,0.300003,86.0909
183,27.3811,0.238418,0.238094,0.80188,0.923065,0.300003,86.2107
184,27.6192,0.238416,0.238094,0.799805,0.923065,0.300003,86.3284
185,27.8573,0.238414,0.238094,0.798355,0.92305,0.299988,86.444
186,28.0954,0.238423,0.238094,0.796448,0.923096,0.300003,86.5578
187,28.3335,0.238421,0.238094,0.795593,0.92308,0.299973,86.6695
188,28.5716,0.238443,0.238094,0.794159,0.923157,0.300003,86.7794
189,28.8097,0.23844,0.238094,0.793533,0.923157,0.300003,86.8874
190,29.0478,0.238438,0.238094,0.792526,0.923141,0.300018,86.9938
191,29.2859,0.238423,0.238094,0.791321,0.923096,0.300003,87.0984
192,29.524,0.238421,0.238094,0.7901,0.92308,0.300018,87.2014
193,29.762,0.238406,0.238094,0.788483,0.923019,0.300003,87.3027
194,30.0001,0.238404,0.238094,0.78801,0.923019,0.300034,87.4026
195,30.2382,0.238377,0.238094,0.786285,0.922913,0.300003,87.5008
196,30.4763,0.238375,0.238094,0.785599,0.922897,0.300034,87.5977
197,30.7144,0.238348,0.238094,0.785568,0.922791,0.300018,87.693
198,30.9525,0.238334,0.238094,0.786942,0.922745,0.300018,87.787
199,31.1906,0.238319,0.238094,0.784668,0.922684,0.300018,87.8795
200,31.4287,0.238305,0.238094,0.786911,0.922623,0.300018,87.9707
201,31.6668,0.23829,0.238094,0.783554,0.922577,0.300018,88.0606
202,31.9049,0.238275,0.238094,0.787354,0.922516,0.300003,88.1491
203,32.143,0.238273,0.238094,0.784973,0.922501,0.300018,88.2364
204,32.3811,0.238258,0.238094,0.786545,0.922455,0.300003,88.3224
