"VanillaC4_002 [C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_002.tcf]","Time (h)","V 2 [VanillaC4_002]","V 3 [VanillaC4_002]","V 4 [VanillaC4_002]","V 5 [VanillaC4_002]","V 6 [VanillaC4_002]","V 7 [VanillaC4_002]","V 8 [VanillaC4_002]","V 9 [VanillaC4_002]","V 10 [VanillaC4_002]","V 11 [VanillaC4_002]","V 12 [VanillaC4_002]","V 13 [VanillaC4_002]","V 14 [VanillaC4_002]","V 15 [VanillaC4_002]","V 16 [VanillaC4_002]","V  1 [VanillaC4_002]"
          51,        0.833333,          2.3388,          2.1331,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1240,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          52,        0.850000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          53,        0.866667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          54,        0.883333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          55,        0.900000,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          56,        0.916667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          57,        0.933333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          58,        0.950000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          59,        0.966667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          60,        0.983333,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          61,        1.000000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          62,        1.016667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3772,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          63,        1.033333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0488,          2.1239,          2.0497,          2.1254,          2.0530,          2.1301,          2.3870,          2.3953,          2.4163,          2.2527
          64,        1.050000,          2.3388,          2.1331,          2.3723,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1301,          2.3870,          2.3953,          2.4163,          2.2527
          65,        1.066667,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          66,        1.083333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          67,        1.100000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          68,        1.116667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          69,        1.133333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          70,        1.150000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          71,        1.166667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          72,        1.183333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          73,        1.200000,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1301,          2.3870,          2.3953,          2.4163,          2.2527
          74,        1.216667,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          75,        1.233333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0496,          2.1255,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          76,        1.250000,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          77,        1.266667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          78,        1.283333,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          79,        1.300000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          80,        1.316667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          81,        1.333333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          82,        1.350000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          83,        1.366667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1240,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          84,        1.383333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          85,        1.400000,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          86,        1.416667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          87,        1.433333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3772,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          88,        1.450000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          89,        1.466667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          90,        1.483333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          91,        1.500000,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          92,        1.516667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          93,        1.533333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          94,        1.550000,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          95,        1.566667,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          96,        1.583333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          97,        1.600000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          98,        1.616667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          99,        1.633333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         100,        1.650000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         101,        1.666667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         102,        1.683333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0496,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         103,        1.700000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         104,        1.716667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         105,        1.733333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3772,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         106,        1.750000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         107,        1.766667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3869,          2.3953,          2.4163,          2.2527
         108,        1.783333,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         109,        1.800000,          2.3387,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         110,        1.816667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         111,        1.833333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         112,        1.850000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         113,        1.866667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         114,        1.883333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         115,        1.900000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0496,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         116,        1.916667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         117,        1.933333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         118,        1.950000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0496,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         119,        1.966667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3772,          2.1236,          2.0488,          2.1240,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         120,        1.983333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         121,        2.000000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527

