"InphaseC4_005","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_005.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.233333,          1.6338,          0.6869,          1.3915,          2.3841,          1.6243,          0.6525,          1.1831,          2.1762,          0.8724,          0.9814,          1.5565,          2.1236,          1.7471,          1.4464,          1.2603,          1.9410,        -38.2747,        -38.2741,        -38.2731,        -38.2710,        -38.2573,        -38.2446,        -38.2741,        -38.2422
,        0.241667,          1.6338,          0.6869,          1.3915,          2.3841,          1.6242,          0.6525,          1.1831,          2.1758,          0.8726,          0.9815,          1.5566,          2.1242,          1.7474,          1.4468,          1.2606,          1.9410,        -38.2740,        -38.2741,        -38.2737,        -38.2724,        -38.2624,        -38.2545,        -38.2742,        -38.2541
,        0.250000,          1.6339,          0.6869,          1.3915,          2.3841,          1.6243,          0.6525,          1.1831,          2.1755,          0.8727,          0.9816,          1.5567,          2.1244,          1.7477,          1.4471,          1.2609,          1.9409,        -38.2743,        -38.2742,        -38.2729,        -38.2723,        -38.2661,        -38.2618,        -38.2741,        -38.2608
,        0.258333,          1.6339,          0.6869,          1.3915,          2.3840,          1.6242,          0.6525,          1.1831,          2.1754,          0.8728,          0.9816,          1.5567,          2.1247,          1.7478,          1.4472,          1.2610,          1.9409,        -38.2745,        -38.2741,        -38.2731,        -38.2731,        -38.2689,        -38.2657,        -38.2740,        -38.2656
,        0.266667,          1.6339,          0.6869,          1.3915,          2.3841,          1.6242,          0.6525,          1.1831,          2.1752,          0.8729,          0.9817,          1.5568,          2.1248,          1.7479,          1.4473,          1.2611,          1.9409,        -38.2736,        -38.2747,        -38.2735,        -38.2739,        -38.2713,        -38.2688,        -38.2744,        -38.2689
,        0.275000,          1.6338,          0.6869,          1.3916,          2.3841,          1.6243,          0.6526,          1.1832,          2.1752,          0.8728,          0.9817,          1.5568,          2.1249,          1.7480,          1.4474,          1.2611,          1.9409,        -38.2747,        -38.2743,        -38.2737,        -38.2741,        -38.2723,        -38.2706,        -38.2740,        -38.2707
,        0.283333,          1.6338,          0.6870,          1.3915,          2.3840,          1.6242,          0.6525,          1.1831,          2.1751,          0.8729,          0.9818,          1.5568,          2.1250,          1.7480,          1.4474,          1.2612,          1.9409,        -38.2740,        -38.2742,        -38.2738,        -38.2743,        -38.2725,        -38.2716,        -38.2744,        -38.2718
,        0.291667,          1.6338,          0.6869,          1.3916,          2.3841,          1.6242,          0.6526,          1.1831,          2.1751,          0.8730,          0.9817,          1.5568,          2.1250,          1.7480,          1.4475,          1.2612,          1.9409,        -38.2745,        -38.2744,        -38.2742,        -38.2744,        -38.2735,        -38.2727,        -38.2743,        -38.2728
,        0.300000,          1.6338,          0.6869,          1.3915,          2.3841,          1.6242,          0.6526,          1.1832,          2.1750,          0.8729,          0.9818,          1.5568,          2.1250,          1.7481,          1.4475,          1.2613,          1.9409,        -38.2742,        -38.2746,        -38.2741,        -38.2740,        -38.2745,        -38.2735,        -38.2744,        -38.2726
,        0.308333,          1.6339,          0.6869,          1.3916,          2.3841,          1.6242,          0.6526,          1.1832,          2.1751,          0.8729,          0.9817,          1.5568,          2.1250,          1.7481,          1.4476,          1.2612,          1.9409,        -38.2741,        -38.2742,        -38.2748,        -38.2744,        -38.2740,        -38.2735,        -38.2742,        -38.2737
,        0.316667,          1.6338,          0.6869,          1.3915,          2.3840,          1.6242,          0.6526,          1.1832,          2.1751,          0.8729,          0.9817,          1.5569,          2.1250,          1.7481,          1.4476,          1.2613,          1.9409,        -38.2746,        -38.2741,        -38.2738,        -38.2740,        -38.2741,        -38.2741,        -38.2743,        -38.2738
,        0.325000,          1.6338,          0.6870,          1.3915,          2.3841,          1.6242,          0.6525,          1.1832,          2.1750,          0.8729,          0.9817,          1.5568,          2.1251,          1.7481,          1.4475,          1.2613,          1.9409,        -38.2742,        -38.2735,        -38.2747,        -38.2741,        -38.2745,        -38.2740,        -38.2743,        -38.2746
,        0.333333,          1.6338,          0.6870,          1.3915,          2.3841,          1.6242,          0.6526,          1.1831,          2.1751,          0.8729,          0.9818,          1.5569,          2.1250,          1.7481,          1.4475,          1.2613,          1.9410,        -38.2742,        -38.2741,        -38.2742,        -38.2743,        -38.2746,        -38.2739,        -38.2745,        -38.2736
